bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1640555311,730213826,AL(R),3,730213826,DP1l,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,169,0.01775147928994083
1640909284,730213826,AL(R),1,730213826,DP1l,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,169,0.005917159763313609
1640922516,730213826,AL(R),1,730213826,DP1l,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,169,0.005917159763313609
1670287030,730213826,AL(R),1,730213826,DP1l,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,169,0.005917159763313609
1670916819,730213826,AL(R),3,730213826,DP1l,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,169,0.01775147928994083
1671620613,730213826,AL(R),5,730213826,DP1l,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,169,0.029585798816568046
1701947337,730213826,AL(R),5,730213826,DP1l,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,169,0.029585798816568046
1730327790,730213826,AL(R),2,730213826,DP1l,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,169,0.011834319526627219
1730979793,730213826,AL(R),4,730213826,DP1l,1730979793,v2LN31_R,v2LN31,v2LN31,v2LN31,ALLN_sparse,169,0.023668639053254437
1824745150,730213826,AL(R),1,730213826,DP1l,1824745150,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,169,0.005917159763313609
1916485259,730213826,AL(R),2,730213826,DP1l,1916485259,v2LN37_R,v2LN37,v2LN37,v2LN30/v2LN37,ALLN_regional,169,0.011834319526627219
2135408892,730213826,AL(R),1,730213826,DP1l,2135408892,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,169,0.005917159763313609
5813018460,730213826,AL(R),3,730213826,DP1l,5813018460,il3LN6_R,il3LN6,il3LN6,il3LN6,ALLN_broad,169,0.01775147928994083
5813024698,730213826,AL(R),1,730213826,DP1l,5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,169,0.005917159763313609
5813039309,730213826,AL(R),3,730213826,DP1l,5813039309,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,169,0.01775147928994083
5813054773,730213826,AL(R),2,730213826,DP1l,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,169,0.011834319526627219
5813069055,730213826,AL(R),1,730213826,DP1l,5813069055,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,169,0.005917159763313609
5901206553,730213826,AL(R),7,730213826,DP1l,5901206553,il3LN6_L,il3LN6,il3LN6,il3LN6,ALLN_broad,169,0.04142011834319527
5901218894,730213826,AL(R),1,730213826,DP1l,5901218894,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,169,0.005917159763313609
