bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,635062078,AL(R),69,635062078,DP1m,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,11047,0.006246039648773422
1578826464,635062078,AL(R),56,635062078,DP1m,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,11047,0.00506924957001901
1610530558,635062078,AL(R),80,635062078,DP1m,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,11047,0.007241785100027156
1640555311,635062078,AL(R),20,635062078,DP1m,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,11047,0.001810446275006789
1640572741,635062078,AL(R),142,635062078,DP1m,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,11047,0.012854168552548203
1640887603,635062078,AL(R),52,635062078,DP1m,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,11047,0.004707160315017652
1640909284,635062078,AL(R),52,635062078,DP1m,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,11047,0.004707160315017652
1640922516,635062078,AL(R),148,635062078,DP1m,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,11047,0.01339730243505024
1640922754,635062078,AL(R),41,635062078,DP1m,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,11047,0.0037114148637639177
1642623277,635062078,AL(R),110,635062078,DP1m,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,11047,0.00995745451253734
1667251683,635062078,AL(R),175,635062078,DP1m,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,11047,0.015841404906309406
1668944259,635062078,AL(R),10,635062078,DP1m,1668944259,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,11047,0.0009052231375033946
1669924220,635062078,AL(R),174,635062078,DP1m,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,11047,0.015750882592559065
1670278227,635062078,AL(R),10,635062078,DP1m,1670278227,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,11047,0.0009052231375033946
1670287030,635062078,AL(R),79,635062078,DP1m,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,11047,0.007151262786276817
1670597533,635062078,AL(R),99,635062078,DP1m,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,11047,0.008961709061283607
1670627928,635062078,AL(R),65,635062078,DP1m,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,11047,0.005883950393772065
1670636531,635062078,AL(R),3,635062078,DP1m,1670636531,v2LN34e_R,v2LN34E,v2LN34E,v2LN34-35,ALLN_sparse,11047,0.00027156694125101837
1671257931,635062078,AL(R),42,635062078,DP1m,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,11047,0.0038019371775142572
1671292719,635062078,AL(R),161,635062078,DP1m,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,11047,0.014574092513804654
1671620613,635062078,AL(R),11,635062078,DP1m,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,11047,0.000995745451253734
1672320134,635062078,AL(R),85,635062078,DP1m,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,11047,0.007694396668778854
1699974843,635062078,AL(R),129,635062078,DP1m,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,11047,0.01167737847379379
1700644008,635062078,AL(R),2,635062078,DP1m,1700644008,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,11047,0.0001810446275006789
1701947337,635062078,AL(R),9,635062078,DP1m,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,11047,0.0008147008237530552
1702306037,635062078,AL(R),27,635062078,DP1m,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,11047,0.0024441024712591655
1702336197,635062078,AL(R),12,635062078,DP1m,1702336197,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,11047,0.0010862677650040735
1702651358,635062078,AL(R),75,635062078,DP1m,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,11047,0.006789173531275459
1704347707,635062078,AL(R),149,635062078,DP1m,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,11047,0.01348782474880058
1730327790,635062078,AL(R),100,635062078,DP1m,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,11047,0.009052231375033946
1730651751,635062078,AL(R),2,635062078,DP1m,1730651751,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,11047,0.0001810446275006789
1730979793,635062078,AL(R),8,635062078,DP1m,1730979793,v2LN31_R,v2LN31,v2LN31,v2LN31,ALLN_sparse,11047,0.0007241785100027156
1730996778,635062078,AL(R),4,635062078,DP1m,1730996778,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,11047,0.0003620892550013578
1732995501,635062078,AL(R),64,635062078,DP1m,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,11047,0.005793428080021725
1761345315,635062078,AL(R),33,635062078,DP1m,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,11047,0.002987236353761202
1762354941,635062078,AL(R),60,635062078,DP1m,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,11047,0.005431338825020367
1762359683,635062078,AL(R),41,635062078,DP1m,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,11047,0.0037114148637639177
