bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1610530558,635048729,AL(R),1,635048729,DP1m,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,246,0.0040650406504065045
1640555311,635048729,AL(R),1,635048729,DP1m,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,246,0.0040650406504065045
1640922516,635048729,AL(R),4,635048729,DP1m,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,246,0.016260162601626018
1642623277,635048729,AL(R),5,635048729,DP1m,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,246,0.02032520325203252
1667251683,635048729,AL(R),1,635048729,DP1m,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,246,0.0040650406504065045
1669924220,635048729,AL(R),2,635048729,DP1m,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,246,0.008130081300813009
1670597533,635048729,AL(R),2,635048729,DP1m,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,246,0.008130081300813009
1671257931,635048729,AL(R),9,635048729,DP1m,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,246,0.036585365853658534
1671292719,635048729,AL(R),4,635048729,DP1m,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,246,0.016260162601626018
1701947337,635048729,AL(R),1,635048729,DP1m,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,246,0.0040650406504065045
1702306037,635048729,AL(R),1,635048729,DP1m,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,246,0.0040650406504065045
1702651358,635048729,AL(R),1,635048729,DP1m,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,246,0.0040650406504065045
1730327790,635048729,AL(R),6,635048729,DP1m,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,246,0.024390243902439025
1730979793,635048729,AL(R),1,635048729,DP1m,1730979793,v2LN31_R,v2LN31,v2LN31,v2LN31,ALLN_sparse,246,0.0040650406504065045
1732995501,635048729,AL(R),1,635048729,DP1m,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,246,0.0040650406504065045
1762354941,635048729,AL(R),1,635048729,DP1m,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,246,0.0040650406504065045
1762704980,635048729,AL(R),2,635048729,DP1m,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,246,0.008130081300813009
1824101645,635048729,AL(R),1,635048729,DP1m,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,246,0.0040650406504065045
1857799548,635048729,AL(R),7,635048729,DP1m,1857799548,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,246,0.028455284552845527
1858171556,635048729,AL(R),3,635048729,DP1m,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,246,0.012195121951219513
1885765762,635048729,AL(R),1,635048729,DP1m,1885765762,lLN8_R,lLN8,lLN8,lLN7-9,ALLN_sparse,246,0.0040650406504065045
1888199872,635048729,AL(R),1,635048729,DP1m,1888199872,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,246,0.0040650406504065045
2041621893,635048729,AL(R),5,635048729,DP1m,2041621893,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,246,0.02032520325203252
5813018460,635048729,AL(R),2,635048729,DP1m,5813018460,il3LN6_R,il3LN6,il3LN6,il3LN6,ALLN_broad,246,0.008130081300813009
5813039309,635048729,AL(R),5,635048729,DP1m,5813039309,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,246,0.02032520325203252
5813054773,635048729,AL(R),4,635048729,DP1m,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,246,0.016260162601626018
5813054777,635048729,AL(R),1,635048729,DP1m,5813054777,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,246,0.0040650406504065045
5813069055,635048729,AL(R),1,635048729,DP1m,5813069055,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,246,0.0040650406504065045
5813132949,635048729,AL(R),2,635048729,DP1m,5813132949,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,246,0.008130081300813009
5901196806,635048729,AL(R),3,635048729,DP1m,5901196806,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,246,0.012195121951219513
5901206553,635048729,AL(R),4,635048729,DP1m,5901206553,il3LN6_L,il3LN6,il3LN6,il3LN6,ALLN_broad,246,0.016260162601626018
