bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,850375847,AL(R),5,850375847,VA1d,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2289,0.00218435998252512
1578826464,850375847,AL(R),7,850375847,VA1d,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2289,0.0030581039755351682
1610530558,850375847,AL(R),4,850375847,VA1d,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2289,0.0017474879860200961
1639886198,850375847,AL(R),2,850375847,VA1d,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,2289,0.0008737439930100481
1640555311,850375847,AL(R),38,850375847,VA1d,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,2289,0.016601135867190912
1640572741,850375847,AL(R),8,850375847,VA1d,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,2289,0.0034949759720401923
1640887603,850375847,AL(R),6,850375847,VA1d,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2289,0.002621231979030144
1640909284,850375847,AL(R),2,850375847,VA1d,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,2289,0.0008737439930100481
1640922516,850375847,AL(R),7,850375847,VA1d,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,2289,0.0030581039755351682
1640922754,850375847,AL(R),5,850375847,VA1d,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2289,0.00218435998252512
1642623277,850375847,AL(R),5,850375847,VA1d,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2289,0.00218435998252512
1667251683,850375847,AL(R),4,850375847,VA1d,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,2289,0.0017474879860200961
1669924220,850375847,AL(R),4,850375847,VA1d,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,2289,0.0017474879860200961
1670287030,850375847,AL(R),4,850375847,VA1d,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,2289,0.0017474879860200961
1670627928,850375847,AL(R),1,850375847,VA1d,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2289,0.00043687199650502403
