bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1888524453,AL(R),3,1888524453,VA1d,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1319,0.002274450341167551
1578826464,1888524453,AL(R),4,1888524453,VA1d,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1319,0.003032600454890068
1610530558,1888524453,AL(R),2,1888524453,VA1d,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1319,0.001516300227445034
1639886198,1888524453,AL(R),1,1888524453,VA1d,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1319,0.000758150113722517
1640555311,1888524453,AL(R),17,1888524453,VA1d,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1319,0.01288855193328279
1640572741,1888524453,AL(R),1,1888524453,VA1d,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1319,0.000758150113722517
1640887603,1888524453,AL(R),4,1888524453,VA1d,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1319,0.003032600454890068
1640922516,1888524453,AL(R),2,1888524453,VA1d,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1319,0.001516300227445034
1642623277,1888524453,AL(R),4,1888524453,VA1d,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1319,0.003032600454890068
1669924220,1888524453,AL(R),1,1888524453,VA1d,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1319,0.000758150113722517
1670287030,1888524453,AL(R),2,1888524453,VA1d,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1319,0.001516300227445034
1670627928,1888524453,AL(R),1,1888524453,VA1d,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1319,0.000758150113722517
1670916819,1888524453,AL(R),4,1888524453,VA1d,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,1319,0.003032600454890068
1671257931,1888524453,AL(R),3,1888524453,VA1d,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1319,0.002274450341167551
1671292719,1888524453,AL(R),2,1888524453,VA1d,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1319,0.001516300227445034
1671620613,1888524453,AL(R),25,1888524453,VA1d,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,1319,0.018953752843062926
1699974843,1888524453,AL(R),1,1888524453,VA1d,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1319,0.000758150113722517
1701947337,1888524453,AL(R),8,1888524453,VA1d,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1319,0.006065200909780136
1702651358,1888524453,AL(R),1,1888524453,VA1d,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1319,0.000758150113722517
