bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,5813054697,AL(R),5,5813054697,VA1v,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2550,0.00196078431372549
1578826464,5813054697,AL(R),9,5813054697,VA1v,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2550,0.0035294117647058825
1610530558,5813054697,AL(R),7,5813054697,VA1v,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2550,0.0027450980392156863
1639886198,5813054697,AL(R),1,5813054697,VA1v,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,2550,0.000392156862745098
1640555311,5813054697,AL(R),1,5813054697,VA1v,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,2550,0.000392156862745098
1640572741,5813054697,AL(R),6,5813054697,VA1v,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,2550,0.002352941176470588
1640887603,5813054697,AL(R),3,5813054697,VA1v,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2550,0.001176470588235294
1640909284,5813054697,AL(R),14,5813054697,VA1v,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,2550,0.005490196078431373
1640922516,5813054697,AL(R),7,5813054697,VA1v,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,2550,0.0027450980392156863
1640922754,5813054697,AL(R),4,5813054697,VA1v,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2550,0.001568627450980392
1642623277,5813054697,AL(R),11,5813054697,VA1v,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2550,0.004313725490196078
1667251683,5813054697,AL(R),6,5813054697,VA1v,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,2550,0.002352941176470588
1669924220,5813054697,AL(R),4,5813054697,VA1v,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,2550,0.001568627450980392
1670287030,5813054697,AL(R),7,5813054697,VA1v,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,2550,0.0027450980392156863
1670597533,5813054697,AL(R),1,5813054697,VA1v,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,2550,0.000392156862745098
1670627928,5813054697,AL(R),1,5813054697,VA1v,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2550,0.000392156862745098
1671292719,5813054697,AL(R),2,5813054697,VA1v,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,2550,0.000784313725490196
1671620613,5813054697,AL(R),25,5813054697,VA1v,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,2550,0.00980392156862745
1672320134,5813054697,AL(R),1,5813054697,VA1v,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,2550,0.000392156862745098
1699974843,5813054697,AL(R),14,5813054697,VA1v,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,2550,0.005490196078431373
