bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,887105351,AL(R),11,887105351,VA1v,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1950,0.0056410256410256415
1578826464,887105351,AL(R),9,887105351,VA1v,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1950,0.004615384615384616
1610530558,887105351,AL(R),6,887105351,VA1v,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1950,0.003076923076923077
1640572741,887105351,AL(R),4,887105351,VA1v,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1950,0.0020512820512820513
1640887603,887105351,AL(R),10,887105351,VA1v,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1950,0.005128205128205128
1640909284,887105351,AL(R),3,887105351,VA1v,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1950,0.0015384615384615385
1640922516,887105351,AL(R),4,887105351,VA1v,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1950,0.0020512820512820513
1640922754,887105351,AL(R),5,887105351,VA1v,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1950,0.002564102564102564
1642623277,887105351,AL(R),15,887105351,VA1v,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1950,0.007692307692307693
1667251683,887105351,AL(R),2,887105351,VA1v,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1950,0.0010256410256410256
1669924220,887105351,AL(R),2,887105351,VA1v,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1950,0.0010256410256410256
1670287030,887105351,AL(R),10,887105351,VA1v,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1950,0.005128205128205128
1670627928,887105351,AL(R),4,887105351,VA1v,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1950,0.0020512820512820513
