bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,574037281,AL(R),10,574037281,VA5,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1820,0.005494505494505495
1578826464,574037281,AL(R),5,574037281,VA5,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1820,0.0027472527472527475
1610530558,574037281,AL(R),8,574037281,VA5,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1820,0.004395604395604396
1639886198,574037281,AL(R),7,574037281,VA5,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1820,0.0038461538461538464
1640572741,574037281,AL(R),11,574037281,VA5,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1820,0.006043956043956044
1640887603,574037281,AL(R),5,574037281,VA5,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1820,0.0027472527472527475
1640922516,574037281,AL(R),11,574037281,VA5,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1820,0.006043956043956044
1640922754,574037281,AL(R),11,574037281,VA5,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1820,0.006043956043956044
1642623277,574037281,AL(R),8,574037281,VA5,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1820,0.004395604395604396
1667251683,574037281,AL(R),9,574037281,VA5,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1820,0.004945054945054945
1668275074,574037281,AL(R),1,574037281,VA5,1668275074,v2LN34f_R,v2LN34F,v2LN34F,v2LN34-35,ALLN_regional,1820,0.0005494505494505495
1670287030,574037281,AL(R),11,574037281,VA5,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1820,0.006043956043956044
1670597533,574037281,AL(R),11,574037281,VA5,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1820,0.006043956043956044
1670627928,574037281,AL(R),6,574037281,VA5,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1820,0.0032967032967032967
1671257931,574037281,AL(R),11,574037281,VA5,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1820,0.006043956043956044
1671270875,574037281,AL(R),5,574037281,VA5,1671270875,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,1820,0.0027472527472527475
1671620613,574037281,AL(R),47,574037281,VA5,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,1820,0.025824175824175823
1672320134,574037281,AL(R),6,574037281,VA5,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1820,0.0032967032967032967
1699974843,574037281,AL(R),7,574037281,VA5,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1820,0.0038461538461538464
1702305987,574037281,AL(R),3,574037281,VA5,1702305987,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,ALLN_regional,1820,0.0016483516483516484
1702306037,574037281,AL(R),5,574037281,VA5,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1820,0.0027472527472527475
1702323388,574037281,AL(R),1,574037281,VA5,1702323388,lLN14_R,lLN14,lLN14,lLN10-17,ALLN_sparse,1820,0.0005494505494505495
1702651358,574037281,AL(R),3,574037281,VA5,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1820,0.0016483516483516484
1704347707,574037281,AL(R),3,574037281,VA5,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1820,0.0016483516483516484
1730327790,574037281,AL(R),15,574037281,VA5,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1820,0.008241758241758242
1732995501,574037281,AL(R),5,574037281,VA5,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1820,0.0027472527472527475
1761345315,574037281,AL(R),10,574037281,VA5,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,1820,0.005494505494505495
1762354941,574037281,AL(R),17,574037281,VA5,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1820,0.00934065934065934
1762359683,574037281,AL(R),3,574037281,VA5,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1820,0.0016483516483516484
1762704980,574037281,AL(R),4,574037281,VA5,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1820,0.002197802197802198
1763037543,574037281,AL(R),3,574037281,VA5,1763037543,vLN24,vLN24,vLN24,vLN24-25,ALLN_regional,1820,0.0016483516483516484
1824101645,574037281,AL(R),6,574037281,VA5,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1820,0.0032967032967032967
1824745150,574037281,AL(R),2,574037281,VA5,1824745150,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,1820,0.001098901098901099
1858171556,574037281,AL(R),19,574037281,VA5,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1820,0.010439560439560439
1887867926,574037281,AL(R),7,574037281,VA5,1887867926,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,1820,0.0038461538461538464
1888199872,574037281,AL(R),2,574037281,VA5,1888199872,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,1820,0.001098901098901099
1915159759,574037281,AL(R),1,574037281,VA5,1915159759,v2LN34d_R,v2LN34D,v2LN34D,v2LN34-35,ALLN_sparse,1820,0.0005494505494505495
1918173122,574037281,AL(R),3,574037281,VA5,1918173122,lLN17_R,lLN17,lLN17,lLN10-17,ALLN_sparse,1820,0.0016483516483516484
1918565786,574037281,AL(R),16,574037281,VA5,1918565786,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,1820,0.008791208791208791
1919208947,574037281,AL(R),8,574037281,VA5,1919208947,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,1820,0.004395604395604396
1920590638,574037281,AL(R),1,574037281,VA5,1920590638,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,1820,0.0005494505494505495
