bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1881751117,AL(R),27,1881751117,VA6,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,4983,0.005418422636965683
1578826464,1881751117,AL(R),34,1881751117,VA6,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,4983,0.006823198876179009
1610530558,1881751117,AL(R),28,1881751117,VA6,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,4983,0.005619104956853301
1639886198,1881751117,AL(R),23,1881751117,VA6,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,4983,0.004615693357415212
1640572741,1881751117,AL(R),19,1881751117,VA6,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,4983,0.00381296407786474
1640887603,1881751117,AL(R),32,1881751117,VA6,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,4983,0.006421834236403773
1640909284,1881751117,AL(R),11,1881751117,VA6,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,4983,0.002207505518763797
1640922516,1881751117,AL(R),44,1881751117,VA6,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,4983,0.008830022075055188
1640922754,1881751117,AL(R),18,1881751117,VA6,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,4983,0.003612281757977122
1642623277,1881751117,AL(R),33,1881751117,VA6,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,4983,0.006622516556291391
1667251683,1881751117,AL(R),47,1881751117,VA6,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,4983,0.009432069034718042
1669924220,1881751117,AL(R),8,1881751117,VA6,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,4983,0.0016054585591009432
1670278227,1881751117,AL(R),6,1881751117,VA6,1670278227,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,4983,0.0012040939193257074
1670287030,1881751117,AL(R),13,1881751117,VA6,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,4983,0.0026088701585390327
1670597533,1881751117,AL(R),39,1881751117,VA6,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,4983,0.007826610475617099
1670627928,1881751117,AL(R),15,1881751117,VA6,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,4983,0.0030102347983142685
1670916819,1881751117,AL(R),9,1881751117,VA6,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,4983,0.001806140878988561
1671257931,1881751117,AL(R),25,1881751117,VA6,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,4983,0.0050170579971904475
