bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1692817033,AL(R),17,1692817033,VA7l,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2578,0.0065942591155934835
1578826464,1692817033,AL(R),16,1692817033,VA7l,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2578,0.0062063615205585725
1610530558,1692817033,AL(R),13,1692817033,VA7l,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2578,0.00504266873545384
1639886198,1692817033,AL(R),1,1692817033,VA7l,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,2578,0.0003878975950349108
1640572741,1692817033,AL(R),36,1692817033,VA7l,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,2578,0.013964313421256789
1640887603,1692817033,AL(R),10,1692817033,VA7l,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2578,0.003878975950349108
1640909284,1692817033,AL(R),21,1692817033,VA7l,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,2578,0.008145849495733127
1640922516,1692817033,AL(R),14,1692817033,VA7l,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,2578,0.005430566330488751
1640922754,1692817033,AL(R),27,1692817033,VA7l,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2578,0.01047323506594259
1642623277,1692817033,AL(R),20,1692817033,VA7l,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2578,0.007757951900698216
1667251683,1692817033,AL(R),38,1692817033,VA7l,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,2578,0.01474010861132661
1669924220,1692817033,AL(R),5,1692817033,VA7l,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,2578,0.001939487975174554
1670287030,1692817033,AL(R),30,1692817033,VA7l,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,2578,0.011636927851047323
1670597533,1692817033,AL(R),20,1692817033,VA7l,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,2578,0.007757951900698216
1670627928,1692817033,AL(R),19,1692817033,VA7l,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2578,0.007370054305663305
1670916819,1692817033,AL(R),5,1692817033,VA7l,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,2578,0.001939487975174554
1671257931,1692817033,AL(R),54,1692817033,VA7l,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,2578,0.02094647013188518
