bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1882083076,AL(R),7,1882083076,VA7m,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1471,0.004758667573079538
1578826464,1882083076,AL(R),3,1882083076,VA7m,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1471,0.0020394289598912306
1610530558,1882083076,AL(R),8,1882083076,VA7m,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1471,0.005438477226376614
1640572741,1882083076,AL(R),12,1882083076,VA7m,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1471,0.008157715839564922
1640887603,1882083076,AL(R),3,1882083076,VA7m,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1471,0.0020394289598912306
1640909284,1882083076,AL(R),7,1882083076,VA7m,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1471,0.004758667573079538
1640922516,1882083076,AL(R),9,1882083076,VA7m,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1471,0.006118286879673691
1640922754,1882083076,AL(R),7,1882083076,VA7m,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1471,0.004758667573079538
1642623277,1882083076,AL(R),6,1882083076,VA7m,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1471,0.004078857919782461
1667251683,1882083076,AL(R),12,1882083076,VA7m,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1471,0.008157715839564922
1669924220,1882083076,AL(R),3,1882083076,VA7m,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1471,0.0020394289598912306
1670287030,1882083076,AL(R),3,1882083076,VA7m,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1471,0.0020394289598912306
1670597533,1882083076,AL(R),9,1882083076,VA7m,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1471,0.006118286879673691
1670627928,1882083076,AL(R),8,1882083076,VA7m,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1471,0.005438477226376614
