bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,606090268,AL(R),27,606090268,VC1,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,3854,0.00700570835495589
1578826464,606090268,AL(R),26,606090268,VC1,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,3854,0.006746237675142709
1610530558,606090268,AL(R),20,606090268,VC1,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,3854,0.005189413596263622
1639886198,606090268,AL(R),44,606090268,VC1,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,3854,0.011416709911779968
1640572741,606090268,AL(R),49,606090268,VC1,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,3854,0.012714063310845874
1640887603,606090268,AL(R),20,606090268,VC1,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,3854,0.005189413596263622
1640909284,606090268,AL(R),48,606090268,VC1,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,3854,0.012454592631032694
1640922516,606090268,AL(R),17,606090268,VC1,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,3854,0.0044110015568240785
1640922754,606090268,AL(R),23,606090268,VC1,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,3854,0.005967825635703166
1642623277,606090268,AL(R),24,606090268,VC1,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,3854,0.006227296315516347
1667251683,606090268,AL(R),42,606090268,VC1,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,3854,0.010897768552153606
1670287030,606090268,AL(R),40,606090268,VC1,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,3854,0.010378827192527244
1670597533,606090268,AL(R),41,606090268,VC1,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,3854,0.010638297872340425
1670627928,606090268,AL(R),29,606090268,VC1,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,3854,0.007524649714582252
1670916819,606090268,AL(R),45,606090268,VC1,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,3854,0.01167618059159315
1671270875,606090268,AL(R),7,606090268,VC1,1671270875,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,3854,0.0018162947586922678
1671292719,606090268,AL(R),4,606090268,VC1,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,3854,0.0010378827192527244
1671620613,606090268,AL(R),133,606090268,VC1,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,3854,0.03450960041515309
1672320134,606090268,AL(R),28,606090268,VC1,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,3854,0.007265179034769071
1699974843,606090268,AL(R),51,606090268,VC1,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,3854,0.013233004670472236
1700644008,606090268,AL(R),2,606090268,VC1,1700644008,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,3854,0.0005189413596263622
1701947337,606090268,AL(R),88,606090268,VC1,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,3854,0.022833419823559936
1702305987,606090268,AL(R),10,606090268,VC1,1702305987,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,ALLN_regional,3854,0.002594706798131811
1702306037,606090268,AL(R),28,606090268,VC1,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,3854,0.007265179034769071
1702323388,606090268,AL(R),4,606090268,VC1,1702323388,lLN14_R,lLN14,lLN14,lLN10-17,ALLN_sparse,3854,0.0010378827192527244
1702651358,606090268,AL(R),14,606090268,VC1,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,3854,0.0036325895173845357
1704347707,606090268,AL(R),16,606090268,VC1,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,3854,0.0041515308770108976
1730327790,606090268,AL(R),43,606090268,VC1,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,3854,0.011157239231966787
1730651751,606090268,AL(R),1,606090268,VC1,1730651751,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,3854,0.0002594706798131811
1730996778,606090268,AL(R),1,606090268,VC1,1730996778,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,3854,0.0002594706798131811
1732995501,606090268,AL(R),34,606090268,VC1,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,3854,0.008822003113648157
1761345315,606090268,AL(R),2,606090268,VC1,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,3854,0.0005189413596263622
