bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,693125078,AL(R),10,693125078,VC3,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1718,0.005820721769499418
1578826464,693125078,AL(R),8,693125078,VC3,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1718,0.004656577415599534
1610530558,693125078,AL(R),8,693125078,VC3,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1718,0.004656577415599534
1639886198,693125078,AL(R),9,693125078,VC3,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1718,0.005238649592549476
1640572741,693125078,AL(R),7,693125078,VC3,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1718,0.004074505238649592
1640887603,693125078,AL(R),6,693125078,VC3,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1718,0.0034924330616996507
1640909284,693125078,AL(R),15,693125078,VC3,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1718,0.008731082654249126
1640922516,693125078,AL(R),12,693125078,VC3,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1718,0.006984866123399301
1640922754,693125078,AL(R),5,693125078,VC3,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1718,0.002910360884749709
1642623277,693125078,AL(R),13,693125078,VC3,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1718,0.007566938300349243
1667251683,693125078,AL(R),14,693125078,VC3,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1718,0.008149010477299184
1668944259,693125078,AL(R),1,693125078,VC3,1668944259,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,1718,0.0005820721769499418
1669924220,693125078,AL(R),6,693125078,VC3,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1718,0.0034924330616996507
1670287030,693125078,AL(R),5,693125078,VC3,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1718,0.002910360884749709
1670597533,693125078,AL(R),6,693125078,VC3,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1718,0.0034924330616996507
1670627928,693125078,AL(R),5,693125078,VC3,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1718,0.002910360884749709
1671257931,693125078,AL(R),7,693125078,VC3,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1718,0.004074505238649592
1671270875,693125078,AL(R),3,693125078,VC3,1671270875,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,1718,0.0017462165308498253
1671292719,693125078,AL(R),14,693125078,VC3,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1718,0.008149010477299184
1671620613,693125078,AL(R),30,693125078,VC3,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,1718,0.017462165308498253
1672320134,693125078,AL(R),10,693125078,VC3,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1718,0.005820721769499418
1699974843,693125078,AL(R),18,693125078,VC3,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1718,0.010477299185098952
1700644008,693125078,AL(R),2,693125078,VC3,1700644008,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,1718,0.0011641443538998836
1701947337,693125078,AL(R),2,693125078,VC3,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1718,0.0011641443538998836
1702306037,693125078,AL(R),7,693125078,VC3,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1718,0.004074505238649592
1702336197,693125078,AL(R),1,693125078,VC3,1702336197,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,1718,0.0005820721769499418
1702651358,693125078,AL(R),2,693125078,VC3,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1718,0.0011641443538998836
1704347707,693125078,AL(R),11,693125078,VC3,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1718,0.006402793946449359
1728294045,693125078,AL(R),4,693125078,VC3,1728294045,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,1718,0.002328288707799767
1730327790,693125078,AL(R),18,693125078,VC3,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1718,0.010477299185098952
1730651751,693125078,AL(R),2,693125078,VC3,1730651751,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,1718,0.0011641443538998836
1732995501,693125078,AL(R),7,693125078,VC3,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1718,0.004074505238649592
1762354941,693125078,AL(R),10,693125078,VC3,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1718,0.005820721769499418
1762359683,693125078,AL(R),2,693125078,VC3,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1718,0.0011641443538998836
1762704980,693125078,AL(R),1,693125078,VC3,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1718,0.0005820721769499418
1793744512,693125078,AL(R),1,693125078,VC3,1793744512,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,1718,0.0005820721769499418
1824101645,693125078,AL(R),12,693125078,VC3,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1718,0.006984866123399301
1858171556,693125078,AL(R),16,693125078,VC3,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1718,0.009313154831199068
