bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,5813055147,AL(R),18,5813055147,VC4,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2084,0.008637236084452975
1578826464,5813055147,AL(R),5,5813055147,VC4,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2084,0.0023992322456813818
1610530558,5813055147,AL(R),9,5813055147,VC4,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2084,0.004318618042226488
1639886198,5813055147,AL(R),7,5813055147,VC4,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,2084,0.0033589251439539347
1640555311,5813055147,AL(R),12,5813055147,VC4,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,2084,0.005758157389635317
1640572741,5813055147,AL(R),25,5813055147,VC4,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,2084,0.01199616122840691
1640887603,5813055147,AL(R),11,5813055147,VC4,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2084,0.00527831094049904
1640909284,5813055147,AL(R),18,5813055147,VC4,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,2084,0.008637236084452975
1640922516,5813055147,AL(R),9,5813055147,VC4,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,2084,0.004318618042226488
1640922754,5813055147,AL(R),4,5813055147,VC4,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2084,0.0019193857965451055
1642623277,5813055147,AL(R),11,5813055147,VC4,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2084,0.00527831094049904
1667251683,5813055147,AL(R),37,5813055147,VC4,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,2084,0.017754318618042227
