bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,662776660,AL(R),12,662776660,VC5,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1915,0.006266318537859008
1578826464,662776660,AL(R),15,662776660,VC5,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1915,0.007832898172323759
1610530558,662776660,AL(R),7,662776660,VC5,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1915,0.0036553524804177544
1640555311,662776660,AL(R),14,662776660,VC5,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1915,0.007310704960835509
1640572741,662776660,AL(R),17,662776660,VC5,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1915,0.008877284595300261
1640887603,662776660,AL(R),10,662776660,VC5,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1915,0.005221932114882507
1640909284,662776660,AL(R),11,662776660,VC5,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1915,0.005744125326370757
1640922516,662776660,AL(R),20,662776660,VC5,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1915,0.010443864229765013
1640922754,662776660,AL(R),5,662776660,VC5,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1915,0.0026109660574412533
1642623277,662776660,AL(R),11,662776660,VC5,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1915,0.005744125326370757
1667251683,662776660,AL(R),6,662776660,VC5,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1915,0.003133159268929504
1669924220,662776660,AL(R),1,662776660,VC5,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1915,0.0005221932114882506
1670287030,662776660,AL(R),10,662776660,VC5,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1915,0.005221932114882507
1670597533,662776660,AL(R),5,662776660,VC5,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1915,0.0026109660574412533
1670627928,662776660,AL(R),11,662776660,VC5,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1915,0.005744125326370757
1671257931,662776660,AL(R),2,662776660,VC5,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1915,0.0010443864229765013
1671270875,662776660,AL(R),2,662776660,VC5,1671270875,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,1915,0.0010443864229765013
1671292719,662776660,AL(R),4,662776660,VC5,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1915,0.0020887728459530026
1671620613,662776660,AL(R),60,662776660,VC5,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,1915,0.031331592689295036
1672320134,662776660,AL(R),12,662776660,VC5,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1915,0.006266318537859008
1699974843,662776660,AL(R),27,662776660,VC5,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1915,0.014099216710182768
1701947337,662776660,AL(R),6,662776660,VC5,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1915,0.003133159268929504
1702306037,662776660,AL(R),8,662776660,VC5,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1915,0.004177545691906005
1702651358,662776660,AL(R),13,662776660,VC5,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1915,0.006788511749347258
1704347707,662776660,AL(R),3,662776660,VC5,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1915,0.001566579634464752
1728294045,662776660,AL(R),1,662776660,VC5,1728294045,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,1915,0.0005221932114882506
1730327790,662776660,AL(R),33,662776660,VC5,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1915,0.01723237597911227
1732995501,662776660,AL(R),7,662776660,VC5,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1915,0.0036553524804177544
1762354941,662776660,AL(R),13,662776660,VC5,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1915,0.006788511749347258
1762359683,662776660,AL(R),5,662776660,VC5,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1915,0.0026109660574412533
1762704980,662776660,AL(R),11,662776660,VC5,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1915,0.005744125326370757
1794037618,662776660,AL(R),2,662776660,VC5,1794037618,vLN25,vLN25,vLN25,vLN24-25,ALLN_regional,1915,0.0010443864229765013
1824101645,662776660,AL(R),15,662776660,VC5,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1915,0.007832898172323759
1824745150,662776660,AL(R),1,662776660,VC5,1824745150,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,1915,0.0005221932114882506
1826825128,662776660,AL(R),2,662776660,VC5,1826825128,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,1915,0.0010443864229765013
1858171556,662776660,AL(R),7,662776660,VC5,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1915,0.0036553524804177544
1887867926,662776660,AL(R),5,662776660,VC5,1887867926,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,1915,0.0026109660574412533
1888199872,662776660,AL(R),4,662776660,VC5,1888199872,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,1915,0.0020887728459530026
1918565786,662776660,AL(R),9,662776660,VC5,1918565786,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,1915,0.004699738903394256
1919208947,662776660,AL(R),5,662776660,VC5,1919208947,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,1915,0.0026109660574412533
2040301572,662776660,AL(R),9,662776660,VC5,2040301572,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,1915,0.004699738903394256
2105086391,662776660,AL(R),22,662776660,VC5,2105086391,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1915,0.011488250652741514
2135408892,662776660,AL(R),2,662776660,VC5,2135408892,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,1915,0.0010443864229765013
5812996027,662776660,AL(R),1,662776660,VC5,5812996027,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,1915,0.0005221932114882506
5813018460,662776660,AL(R),2,662776660,VC5,5813018460,il3LN6_R,il3LN6,il3LN6,il3LN6,ALLN_broad,1915,0.0010443864229765013
5813018847,662776660,AL(R),20,662776660,VC5,5813018847,vLN27_R,vLN27,vLN27,vLN27-29,ALLN_sparse,1915,0.010443864229765013
5813024339,662776660,AL(R),8,662776660,VC5,5813024339,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,1915,0.004177545691906005
5813024698,662776660,AL(R),4,662776660,VC5,5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1915,0.0020887728459530026
5813032595,662776660,AL(R),17,662776660,VC5,5813032595,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1915,0.008877284595300261
5813034455,662776660,AL(R),3,662776660,VC5,5813034455,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,1915,0.001566579634464752
5813034493,662776660,AL(R),10,662776660,VC5,5813034493,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_regional,1915,0.005221932114882507
5813034531,662776660,AL(R),1,662776660,VC5,5813034531,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,1915,0.0005221932114882506
5813039309,662776660,AL(R),8,662776660,VC5,5813039309,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1915,0.004177545691906005
5813047691,662776660,AL(R),8,662776660,VC5,5813047691,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1915,0.004177545691906005
5813054622,662776660,AL(R),11,662776660,VC5,5813054622,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1915,0.005744125326370757
5813054725,662776660,AL(R),15,662776660,VC5,5813054725,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1915,0.007832898172323759
5813054726,662776660,AL(R),18,662776660,VC5,5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1915,0.009399477806788513
5813054773,662776660,AL(R),18,662776660,VC5,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,1915,0.009399477806788513
5813054777,662776660,AL(R),12,662776660,VC5,5813054777,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1915,0.006266318537859008
5813055277,662776660,AL(R),11,662776660,VC5,5813055277,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1915,0.005744125326370757
5813056598,662776660,AL(R),8,662776660,VC5,5813056598,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1915,0.004177545691906005
5813062199,662776660,AL(R),22,662776660,VC5,5813062199,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1915,0.011488250652741514
5813069055,662776660,AL(R),15,662776660,VC5,5813069055,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1915,0.007832898172323759
5813069085,662776660,AL(R),9,662776660,VC5,5813069085,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1915,0.004699738903394256
5813075196,662776660,AL(R),11,662776660,VC5,5813075196,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,1915,0.005744125326370757
5813076969,662776660,AL(R),2,662776660,VC5,5813076969,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,ALLN_regional,1915,0.0010443864229765013
5813078440,662776660,AL(R),15,662776660,VC5,5813078440,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1915,0.007832898172323759
5813130064,662776660,AL(R),14,662776660,VC5,5813130064,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1915,0.007310704960835509
5813132949,662776660,AL(R),3,662776660,VC5,5813132949,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1915,0.001566579634464752
5901218894,662776660,AL(R),9,662776660,VC5,5901218894,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1915,0.004699738903394256
