bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,2166133204,AL(R),18,2166133204,VL1,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2382,0.007556675062972292
1578826464,2166133204,AL(R),15,2166133204,VL1,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,2382,0.006297229219143577
1610530558,2166133204,AL(R),15,2166133204,VL1,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2382,0.006297229219143577
1640572741,2166133204,AL(R),1,2166133204,VL1,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,2382,0.00041981528127623844
1640887603,2166133204,AL(R),12,2166133204,VL1,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2382,0.005037783375314861
1640922516,2166133204,AL(R),13,2166133204,VL1,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,2382,0.0054575986565911
1640922754,2166133204,AL(R),5,2166133204,VL1,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2382,0.0020990764063811922
1642623277,2166133204,AL(R),17,2166133204,VL1,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,2382,0.007136859781696054
1669924220,2166133204,AL(R),2,2166133204,VL1,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,2382,0.0008396305625524769
1670287030,2166133204,AL(R),21,2166133204,VL1,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,2382,0.008816120906801008
1670597533,2166133204,AL(R),2,2166133204,VL1,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,2382,0.0008396305625524769
1670627928,2166133204,AL(R),13,2166133204,VL1,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,2382,0.0054575986565911
