bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1944507292,AL(R),30,1944507292,VL2p,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,6354,0.004721435316336166
1578826464,1944507292,AL(R),29,1944507292,VL2p,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,6354,0.00456405413912496
1610530558,1944507292,AL(R),49,1944507292,VL2p,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,6354,0.007711677683349071
1639886198,1944507292,AL(R),32,1944507292,VL2p,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,6354,0.005036197670758577
1640572741,1944507292,AL(R),54,1944507292,VL2p,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,6354,0.0084985835694051
1640887603,1944507292,AL(R),58,1944507292,VL2p,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,6354,0.00912810827824992
1640909284,1944507292,AL(R),79,1944507292,VL2p,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,6354,0.012433112999685237
1640922516,1944507292,AL(R),43,1944507292,VL2p,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,6354,0.006767390620081838
1640922754,1944507292,AL(R),23,1944507292,VL2p,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,6354,0.0036197670758577275
1642623277,1944507292,AL(R),54,1944507292,VL2p,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,6354,0.0084985835694051
1667251683,1944507292,AL(R),40,1944507292,VL2p,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,6354,0.006295247088448221
1669924220,1944507292,AL(R),50,1944507292,VL2p,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,6354,0.007869058860560278
1670287030,1944507292,AL(R),42,1944507292,VL2p,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,6354,0.0066100094428706326
1670597533,1944507292,AL(R),30,1944507292,VL2p,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,6354,0.004721435316336166
1670627928,1944507292,AL(R),38,1944507292,VL2p,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,6354,0.005980484734025811
1671257931,1944507292,AL(R),22,1944507292,VL2p,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,6354,0.003462385898646522
1671292719,1944507292,AL(R),43,1944507292,VL2p,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,6354,0.006767390620081838
1671620613,1944507292,AL(R),179,1944507292,VL2p,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,6354,0.028171230720805792
1672320134,1944507292,AL(R),51,1944507292,VL2p,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,6354,0.008026440037771483
1699974843,1944507292,AL(R),43,1944507292,VL2p,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,6354,0.006767390620081838
1700644008,1944507292,AL(R),1,1944507292,VL2p,1700644008,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,6354,0.00015738117721120554
1701947337,1944507292,AL(R),1,1944507292,VL2p,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,6354,0.00015738117721120554
1702306037,1944507292,AL(R),24,1944507292,VL2p,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,6354,0.003777148253068933
1702651358,1944507292,AL(R),30,1944507292,VL2p,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,6354,0.004721435316336166
1704347707,1944507292,AL(R),22,1944507292,VL2p,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,6354,0.003462385898646522
1728294045,1944507292,AL(R),2,1944507292,VL2p,1728294045,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,6354,0.0003147623544224111
1728294318,1944507292,AL(R),10,1944507292,VL2p,1728294318,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,6354,0.0015738117721120553
1730327790,1944507292,AL(R),110,1944507292,VL2p,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,6354,0.017311929493232608
1730979793,1944507292,AL(R),1,1944507292,VL2p,1730979793,v2LN31_R,v2LN31,v2LN31,v2LN31,ALLN_sparse,6354,0.00015738117721120554
1730996778,1944507292,AL(R),2,1944507292,VL2p,1730996778,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,6354,0.0003147623544224111
1732995501,1944507292,AL(R),40,1944507292,VL2p,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,6354,0.006295247088448221
1761345315,1944507292,AL(R),6,1944507292,VL2p,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,6354,0.0009442870632672333
1762354941,1944507292,AL(R),53,1944507292,VL2p,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,6354,0.008341202392193894
1762359683,1944507292,AL(R),29,1944507292,VL2p,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,6354,0.00456405413912496
1762704980,1944507292,AL(R),19,1944507292,VL2p,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,6354,0.0029902423670129055
1763037543,1944507292,AL(R),7,1944507292,VL2p,1763037543,vLN24,vLN24,vLN24,vLN24-25,ALLN_regional,6354,0.0011016682404784387
1764388538,1944507292,AL(R),2,1944507292,VL2p,1764388538,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,6354,0.0003147623544224111
1790364325,1944507292,AL(R),2,1944507292,VL2p,1790364325,v2LN44_R,v2LN44,v2LN44,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,6354,0.0003147623544224111
1794037618,1944507292,AL(R),1,1944507292,VL2p,1794037618,vLN25,vLN25,vLN25,vLN24-25,ALLN_regional,6354,0.00015738117721120554
1795734228,1944507292,AL(R),3,1944507292,VL2p,1795734228,lLN8_R,lLN8,lLN8,lLN7-9,ALLN_sparse,6354,0.00047214353163361664
1824101645,1944507292,AL(R),33,1944507292,VL2p,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,6354,0.005193578847969783
1824745150,1944507292,AL(R),8,1944507292,VL2p,1824745150,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,6354,0.0012590494176896443
1852754119,1944507292,AL(R),2,1944507292,VL2p,1852754119,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,6354,0.0003147623544224111
1858171556,1944507292,AL(R),10,1944507292,VL2p,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,6354,0.0015738117721120553
1885765762,1944507292,AL(R),11,1944507292,VL2p,1885765762,lLN8_R,lLN8,lLN8,lLN7-9,ALLN_sparse,6354,0.001731192949323261
1887160257,1944507292,AL(R),2,1944507292,VL2p,1887160257,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,6354,0.0003147623544224111
1887837668,1944507292,AL(R),10,1944507292,VL2p,1887837668,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,6354,0.0015738117721120553
1888860489,1944507292,AL(R),9,1944507292,VL2p,1888860489,v2LN34b_R,v2LN34B,v2LN34B,v2LN34-35,ALLN_regional,6354,0.00141643059490085
1915155414,1944507292,AL(R),20,1944507292,VL2p,1915155414,v2LN39b_R,v2LN39B,v2LN39B,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,6354,0.0031476235442241107
1916485259,1944507292,AL(R),1,1944507292,VL2p,1916485259,v2LN37_R,v2LN37,v2LN37,v2LN30/v2LN37,ALLN_regional,6354,0.00015738117721120554
1916800213,1944507292,AL(R),59,1944507292,VL2p,1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,6354,0.009285489455461126
