bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,824353701,AL(R),2,824353701,VL2p,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,714,0.0028011204481792717
1578826464,824353701,AL(R),6,824353701,VL2p,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,714,0.008403361344537815
1610530558,824353701,AL(R),4,824353701,VL2p,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,714,0.0056022408963585435
1639886198,824353701,AL(R),6,824353701,VL2p,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,714,0.008403361344537815
1640887603,824353701,AL(R),16,824353701,VL2p,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,714,0.022408963585434174
1640909284,824353701,AL(R),5,824353701,VL2p,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,714,0.0070028011204481795
1642623277,824353701,AL(R),4,824353701,VL2p,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,714,0.0056022408963585435
1667251683,824353701,AL(R),2,824353701,VL2p,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,714,0.0028011204481792717
1669924220,824353701,AL(R),4,824353701,VL2p,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,714,0.0056022408963585435
1670597533,824353701,AL(R),1,824353701,VL2p,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,714,0.0014005602240896359
1670627928,824353701,AL(R),1,824353701,VL2p,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,714,0.0014005602240896359
1671257931,824353701,AL(R),7,824353701,VL2p,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,714,0.00980392156862745
1671292719,824353701,AL(R),1,824353701,VL2p,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,714,0.0014005602240896359
1671620613,824353701,AL(R),24,824353701,VL2p,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,714,0.03361344537815126
1672320134,824353701,AL(R),2,824353701,VL2p,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,714,0.0028011204481792717
1699974843,824353701,AL(R),1,824353701,VL2p,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,714,0.0014005602240896359
1702306037,824353701,AL(R),1,824353701,VL2p,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,714,0.0014005602240896359
1702651358,824353701,AL(R),4,824353701,VL2p,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,714,0.0056022408963585435
1728294318,824353701,AL(R),1,824353701,VL2p,1728294318,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,714,0.0014005602240896359
1730327790,824353701,AL(R),12,824353701,VL2p,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,714,0.01680672268907563
1732995501,824353701,AL(R),2,824353701,VL2p,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,714,0.0028011204481792717
1762354941,824353701,AL(R),1,824353701,VL2p,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,714,0.0014005602240896359
1762704980,824353701,AL(R),1,824353701,VL2p,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,714,0.0014005602240896359
1824101645,824353701,AL(R),9,824353701,VL2p,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,714,0.012605042016806723
1858171556,824353701,AL(R),3,824353701,VL2p,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,714,0.004201680672268907
1885765762,824353701,AL(R),3,824353701,VL2p,1885765762,lLN8_R,lLN8,lLN8,lLN7-9,ALLN_sparse,714,0.004201680672268907
1887837668,824353701,AL(R),1,824353701,VL2p,1887837668,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,714,0.0014005602240896359
1916800213,824353701,AL(R),1,824353701,VL2p,1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,714,0.0014005602240896359
1946178096,824353701,AL(R),14,824353701,VL2p,1946178096,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,714,0.0196078431372549
