bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1850711304,AL(R),4,1850711304,VM1,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1795,0.0022284122562674096
1578826464,1850711304,AL(R),6,1850711304,VM1,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1795,0.003342618384401114
1610530558,1850711304,AL(R),2,1850711304,VM1,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1795,0.0011142061281337048
1640572741,1850711304,AL(R),27,1850711304,VM1,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1795,0.015041782729805013
1640887603,1850711304,AL(R),8,1850711304,VM1,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1795,0.004456824512534819
1640909284,1850711304,AL(R),6,1850711304,VM1,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1795,0.003342618384401114
1640922516,1850711304,AL(R),17,1850711304,VM1,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1795,0.00947075208913649
1640922754,1850711304,AL(R),1,1850711304,VM1,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1795,0.0005571030640668524
1642623277,1850711304,AL(R),3,1850711304,VM1,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1795,0.001671309192200557
1667251683,1850711304,AL(R),3,1850711304,VM1,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1795,0.001671309192200557
1670287030,1850711304,AL(R),4,1850711304,VM1,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1795,0.0022284122562674096
1670597533,1850711304,AL(R),15,1850711304,VM1,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1795,0.008356545961002786
1670627928,1850711304,AL(R),4,1850711304,VM1,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1795,0.0022284122562674096
1671257931,1850711304,AL(R),8,1850711304,VM1,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1795,0.004456824512534819
1671292719,1850711304,AL(R),2,1850711304,VM1,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1795,0.0011142061281337048
1671620613,1850711304,AL(R),38,1850711304,VM1,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,1795,0.02116991643454039
1672320134,1850711304,AL(R),17,1850711304,VM1,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1795,0.00947075208913649
1699974843,1850711304,AL(R),10,1850711304,VM1,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1795,0.005571030640668524
1701947337,1850711304,AL(R),2,1850711304,VM1,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1795,0.0011142061281337048
1702306037,1850711304,AL(R),6,1850711304,VM1,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1795,0.003342618384401114
1702651358,1850711304,AL(R),8,1850711304,VM1,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1795,0.004456824512534819
1704347707,1850711304,AL(R),19,1850711304,VM1,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1795,0.010584958217270195
1730327790,1850711304,AL(R),14,1850711304,VM1,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1795,0.007799442896935933
1732995501,1850711304,AL(R),6,1850711304,VM1,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1795,0.003342618384401114
1761345315,1850711304,AL(R),2,1850711304,VM1,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,1795,0.0011142061281337048
1762354941,1850711304,AL(R),4,1850711304,VM1,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1795,0.0022284122562674096
1762359683,1850711304,AL(R),1,1850711304,VM1,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1795,0.0005571030640668524
1762704980,1850711304,AL(R),17,1850711304,VM1,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1795,0.00947075208913649
1764388538,1850711304,AL(R),1,1850711304,VM1,1764388538,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,1795,0.0005571030640668524
1824101645,1850711304,AL(R),5,1850711304,VM1,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1795,0.002785515320334262
1824745150,1850711304,AL(R),2,1850711304,VM1,1824745150,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,1795,0.0011142061281337048
1825789179,1850711304,AL(R),1,1850711304,VM1,1825789179,lLN10_R,lLN10,lLN10,lLN10-17,ALLN_regional,1795,0.0005571030640668524
1826825128,1850711304,AL(R),3,1850711304,VM1,1826825128,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,1795,0.001671309192200557
1857485213,1850711304,AL(R),1,1850711304,VM1,1857485213,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,1795,0.0005571030640668524
1887867926,1850711304,AL(R),10,1850711304,VM1,1887867926,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,1795,0.005571030640668524
1888860489,1850711304,AL(R),2,1850711304,VM1,1888860489,v2LN34b_R,v2LN34B,v2LN34B,v2LN34-35,ALLN_regional,1795,0.0011142061281337048
1916800213,1850711304,AL(R),11,1850711304,VM1,1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1795,0.006128133704735376
1918207300,1850711304,AL(R),4,1850711304,VM1,1918207300,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,1795,0.0022284122562674096
1919208947,1850711304,AL(R),9,1850711304,VM1,1919208947,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,1795,0.005013927576601671
2040301572,1850711304,AL(R),2,1850711304,VM1,2040301572,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,1795,0.0011142061281337048
2105086391,1850711304,AL(R),24,1850711304,VM1,2105086391,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1795,0.013370473537604457
2135408892,1850711304,AL(R),1,1850711304,VM1,2135408892,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,1795,0.0005571030640668524
5812996027,1850711304,AL(R),1,1850711304,VM1,5812996027,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,1795,0.0005571030640668524
5813018460,1850711304,AL(R),5,1850711304,VM1,5813018460,il3LN6_R,il3LN6,il3LN6,il3LN6,ALLN_broad,1795,0.002785515320334262
5813018729,1850711304,AL(R),1,1850711304,VM1,5813018729,vLN25_R,vLN25,vLN25,vLN24-25,ALLN_regional,1795,0.0005571030640668524
5813018847,1850711304,AL(R),37,1850711304,VM1,5813018847,vLN27_R,vLN27,vLN27,vLN27-29,ALLN_sparse,1795,0.020612813370473538
5813024339,1850711304,AL(R),12,1850711304,VM1,5813024339,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,1795,0.006685236768802228
5813024698,1850711304,AL(R),1,1850711304,VM1,5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1795,0.0005571030640668524
5813032595,1850711304,AL(R),9,1850711304,VM1,5813032595,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1795,0.005013927576601671
