bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1977916288,AL(R),5,1977916288,VM3,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,742,0.006738544474393531
1578826464,1977916288,AL(R),7,1977916288,VM3,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,742,0.009433962264150943
1610530558,1977916288,AL(R),4,1977916288,VM3,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,742,0.005390835579514825
1640555311,1977916288,AL(R),5,1977916288,VM3,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,742,0.006738544474393531
1640572741,1977916288,AL(R),10,1977916288,VM3,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,742,0.013477088948787063
1640887603,1977916288,AL(R),3,1977916288,VM3,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,742,0.004043126684636119
1640909284,1977916288,AL(R),1,1977916288,VM3,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,742,0.0013477088948787063
1640922516,1977916288,AL(R),3,1977916288,VM3,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,742,0.004043126684636119
1640922754,1977916288,AL(R),6,1977916288,VM3,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,742,0.008086253369272238
1642623277,1977916288,AL(R),5,1977916288,VM3,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,742,0.006738544474393531
1667251683,1977916288,AL(R),13,1977916288,VM3,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,742,0.01752021563342318
1669924220,1977916288,AL(R),3,1977916288,VM3,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,742,0.004043126684636119
1670287030,1977916288,AL(R),5,1977916288,VM3,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,742,0.006738544474393531
1670597533,1977916288,AL(R),6,1977916288,VM3,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,742,0.008086253369272238
1670627928,1977916288,AL(R),4,1977916288,VM3,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,742,0.005390835579514825
1671257931,1977916288,AL(R),5,1977916288,VM3,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,742,0.006738544474393531
1671292719,1977916288,AL(R),5,1977916288,VM3,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,742,0.006738544474393531
1671620613,1977916288,AL(R),3,1977916288,VM3,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,742,0.004043126684636119
1672320134,1977916288,AL(R),2,1977916288,VM3,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,742,0.0026954177897574125
1702306037,1977916288,AL(R),7,1977916288,VM3,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,742,0.009433962264150943
1702651358,1977916288,AL(R),6,1977916288,VM3,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,742,0.008086253369272238
1704347707,1977916288,AL(R),1,1977916288,VM3,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,742,0.0013477088948787063
1730327790,1977916288,AL(R),3,1977916288,VM3,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,742,0.004043126684636119
1732995501,1977916288,AL(R),5,1977916288,VM3,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,742,0.006738544474393531
1762354941,1977916288,AL(R),5,1977916288,VM3,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,742,0.006738544474393531
1762359683,1977916288,AL(R),6,1977916288,VM3,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,742,0.008086253369272238
1762704980,1977916288,AL(R),3,1977916288,VM3,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,742,0.004043126684636119
1824101645,1977916288,AL(R),3,1977916288,VM3,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,742,0.004043126684636119
1916485259,1977916288,AL(R),3,1977916288,VM3,1916485259,v2LN37_R,v2LN37,v2LN37,v2LN30/v2LN37,ALLN_regional,742,0.004043126684636119
2105086391,1977916288,AL(R),1,1977916288,VM3,2105086391,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,742,0.0013477088948787063
5813024698,1977916288,AL(R),4,1977916288,VM3,5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,742,0.005390835579514825
5813047691,1977916288,AL(R),4,1977916288,VM3,5813047691,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,742,0.005390835579514825
5813054622,1977916288,AL(R),9,1977916288,VM3,5813054622,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,742,0.012129380053908356
5813054725,1977916288,AL(R),3,1977916288,VM3,5813054725,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,742,0.004043126684636119
5813054726,1977916288,AL(R),11,1977916288,VM3,5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,742,0.014824797843665768
5813054773,1977916288,AL(R),3,1977916288,VM3,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,742,0.004043126684636119
5813054777,1977916288,AL(R),6,1977916288,VM3,5813054777,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,742,0.008086253369272238
5813055277,1977916288,AL(R),1,1977916288,VM3,5813055277,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,742,0.0013477088948787063
