bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1914140664,AL(R),8,1914140664,VM5d,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1719,0.004653868528214078
1578826464,1914140664,AL(R),6,1914140664,VM5d,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1719,0.0034904013961605585
1610530558,1914140664,AL(R),1,1914140664,VM5d,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1719,0.0005817335660267597
1640555311,1914140664,AL(R),12,1914140664,VM5d,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1719,0.006980802792321117
1640887603,1914140664,AL(R),5,1914140664,VM5d,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1719,0.0029086678301337987
1640909284,1914140664,AL(R),3,1914140664,VM5d,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1719,0.0017452006980802793
1640922516,1914140664,AL(R),6,1914140664,VM5d,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1719,0.0034904013961605585
1640922754,1914140664,AL(R),8,1914140664,VM5d,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1719,0.004653868528214078
1642623277,1914140664,AL(R),2,1914140664,VM5d,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1719,0.0011634671320535194
1667251683,1914140664,AL(R),16,1914140664,VM5d,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1719,0.009307737056428156
1669924220,1914140664,AL(R),6,1914140664,VM5d,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1719,0.0034904013961605585
1670287030,1914140664,AL(R),1,1914140664,VM5d,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1719,0.0005817335660267597
1670597533,1914140664,AL(R),22,1914140664,VM5d,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1719,0.012798138452588714
1670627928,1914140664,AL(R),7,1914140664,VM5d,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1719,0.004072134962187318
1671257931,1914140664,AL(R),12,1914140664,VM5d,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1719,0.006980802792321117
1671270875,1914140664,AL(R),7,1914140664,VM5d,1671270875,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,1719,0.004072134962187318
1671292719,1914140664,AL(R),10,1914140664,VM5d,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1719,0.005817335660267597
1672320134,1914140664,AL(R),3,1914140664,VM5d,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1719,0.0017452006980802793
1699974843,1914140664,AL(R),18,1914140664,VM5d,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1719,0.010471204188481676
