bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,636789080,AL(R),45,636789080,VM6,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,5463,0.008237232289950576
1578826464,636789080,AL(R),31,636789080,VM6,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,5463,0.005674537799743731
1610530558,636789080,AL(R),37,636789080,VM6,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,5463,0.006772835438403808
1639886198,636789080,AL(R),1,636789080,VM6,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,5463,0.00018304960644334616
1640572741,636789080,AL(R),52,636789080,VM6,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,5463,0.009518579535054
1640887603,636789080,AL(R),35,636789080,VM6,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,5463,0.006406736225517115
1640909284,636789080,AL(R),27,636789080,VM6,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,5463,0.004942339373970346
1640922516,636789080,AL(R),48,636789080,VM6,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,5463,0.008786381109280615
1640922754,636789080,AL(R),9,636789080,VM6,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,5463,0.0016474464579901153
1642623277,636789080,AL(R),37,636789080,VM6,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,5463,0.006772835438403808
1667251683,636789080,AL(R),15,636789080,VM6,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,5463,0.0027457440966501922
1670278227,636789080,AL(R),1,636789080,VM6,1670278227,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,5463,0.00018304960644334616
1670287030,636789080,AL(R),44,636789080,VM6,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,5463,0.00805418268350723
1670597533,636789080,AL(R),34,636789080,VM6,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,5463,0.006223686619073769
1670627928,636789080,AL(R),35,636789080,VM6,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,5463,0.006406736225517115
1670916819,636789080,AL(R),4,636789080,VM6,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,5463,0.0007321984257733846
1671257931,636789080,AL(R),38,636789080,VM6,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,5463,0.006955885044847154
1671270875,636789080,AL(R),5,636789080,VM6,1671270875,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,5463,0.0009152480322167307
1671292719,636789080,AL(R),10,636789080,VM6,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,5463,0.0018304960644334614
1671620613,636789080,AL(R),100,636789080,VM6,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,5463,0.018304960644334616
1672320134,636789080,AL(R),42,636789080,VM6,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,5463,0.007688083470620538
1699974843,636789080,AL(R),74,636789080,VM6,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,5463,0.013545670876807615
1700644008,636789080,AL(R),1,636789080,VM6,1700644008,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,5463,0.00018304960644334616
1701947337,636789080,AL(R),3,636789080,VM6,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,5463,0.0005491488193300384
1702305987,636789080,AL(R),1,636789080,VM6,1702305987,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,ALLN_regional,5463,0.00018304960644334616
1702306037,636789080,AL(R),26,636789080,VM6,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,5463,0.004759289767527
1702651358,636789080,AL(R),27,636789080,VM6,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,5463,0.004942339373970346
1704347707,636789080,AL(R),14,636789080,VM6,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,5463,0.002562694490206846
1728294045,636789080,AL(R),4,636789080,VM6,1728294045,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,5463,0.0007321984257733846
1730327790,636789080,AL(R),70,636789080,VM6,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,5463,0.01281347245103423
1732995501,636789080,AL(R),21,636789080,VM6,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,5463,0.003844041735310269
1761345315,636789080,AL(R),2,636789080,VM6,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,5463,0.0003660992128866923
1762354941,636789080,AL(R),47,636789080,VM6,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,5463,0.008603331502837269
1762359683,636789080,AL(R),3,636789080,VM6,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,5463,0.0005491488193300384
1762704980,636789080,AL(R),9,636789080,VM6,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,5463,0.0016474464579901153
1764388538,636789080,AL(R),5,636789080,VM6,1764388538,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,5463,0.0009152480322167307
1794037618,636789080,AL(R),3,636789080,VM6,1794037618,vLN25,vLN25,vLN25,vLN24-25,ALLN_regional,5463,0.0005491488193300384
1824101645,636789080,AL(R),46,636789080,VM6,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,5463,0.008420281896393923
1824745150,636789080,AL(R),7,636789080,VM6,1824745150,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,5463,0.001281347245103423
1826445251,636789080,AL(R),8,636789080,VM6,1826445251,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,5463,0.0014643968515467693
1858171556,636789080,AL(R),19,636789080,VM6,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,5463,0.003477942522423577
1883102183,636789080,AL(R),14,636789080,VM6,1883102183,v2LN5_R,v2LN5,v2LN5,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,5463,0.002562694490206846
1887867926,636789080,AL(R),5,636789080,VM6,1887867926,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,5463,0.0009152480322167307
1915155414,636789080,AL(R),7,636789080,VM6,1915155414,v2LN39b_R,v2LN39B,v2LN39B,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,5463,0.001281347245103423
1916800213,636789080,AL(R),20,636789080,VM6,1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,5463,0.003660992128866923
1918565786,636789080,AL(R),4,636789080,VM6,1918565786,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,5463,0.0007321984257733846
1919208947,636789080,AL(R),9,636789080,VM6,1919208947,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,5463,0.0016474464579901153
1946178096,636789080,AL(R),4,636789080,VM6,1946178096,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,5463,0.0007321984257733846
1951971057,636789080,AL(R),1,636789080,VM6,1951971057,lLN14_R,lLN14,lLN14,lLN10-17,ALLN_sparse,5463,0.00018304960644334616
2040301572,636789080,AL(R),8,636789080,VM6,2040301572,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,5463,0.0014643968515467693
2041621893,636789080,AL(R),10,636789080,VM6,2041621893,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,5463,0.0018304960644334614
2101391269,636789080,AL(R),2,636789080,VM6,2101391269,vLN28_R,vLN28,vLN28,vLN27-29,ALLN_sparse,5463,0.0003660992128866923
2105086391,636789080,AL(R),33,636789080,VM6,2105086391,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,5463,0.0060406370126304225
2135408892,636789080,AL(R),5,636789080,VM6,2135408892,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,5463,0.0009152480322167307
5812996027,636789080,AL(R),2,636789080,VM6,5812996027,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,5463,0.0003660992128866923
5813018460,636789080,AL(R),8,636789080,VM6,5813018460,il3LN6_R,il3LN6,il3LN6,il3LN6,ALLN_broad,5463,0.0014643968515467693
5813018729,636789080,AL(R),1,636789080,VM6,5813018729,vLN25_R,vLN25,vLN25,vLN24-25,ALLN_regional,5463,0.00018304960644334616
5813018847,636789080,AL(R),155,636789080,VM6,5813018847,vLN27_R,vLN27,vLN27,vLN27-29,ALLN_sparse,5463,0.028372688998718653
5813024339,636789080,AL(R),25,636789080,VM6,5813024339,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,5463,0.004576240161083654
5813024698,636789080,AL(R),18,636789080,VM6,5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,5463,0.0032948929159802307
5813032595,636789080,AL(R),34,636789080,VM6,5813032595,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,5463,0.006223686619073769
5813034455,636789080,AL(R),1,636789080,VM6,5813034455,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,5463,0.00018304960644334616
5813034493,636789080,AL(R),27,636789080,VM6,5813034493,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_regional,5463,0.004942339373970346
5813034531,636789080,AL(R),3,636789080,VM6,5813034531,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,5463,0.0005491488193300384
5813039309,636789080,AL(R),33,636789080,VM6,5813039309,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,5463,0.0060406370126304225
5813047691,636789080,AL(R),43,636789080,VM6,5813047691,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,5463,0.007871133077063884
5813054622,636789080,AL(R),57,636789080,VM6,5813054622,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,5463,0.01043382756727073
5813054725,636789080,AL(R),29,636789080,VM6,5813054725,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,5463,0.005308438586857038
5813054726,636789080,AL(R),50,636789080,VM6,5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,5463,0.009152480322167308
5813054773,636789080,AL(R),69,636789080,VM6,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,5463,0.012630422844590884
5813054777,636789080,AL(R),41,636789080,VM6,5813054777,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,5463,0.007505033864177192
5813055277,636789080,AL(R),43,636789080,VM6,5813055277,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,5463,0.007871133077063884
5813055448,636789080,AL(R),7,636789080,VM6,5813055448,vLN29_R,vLN29,vLN29,vLN27-29,ALLN_sparse,5463,0.001281347245103423
5813056598,636789080,AL(R),28,636789080,VM6,5813056598,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,5463,0.005125388980413692
5813062199,636789080,AL(R),39,636789080,VM6,5813062199,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,5463,0.007138934651290499
5813066684,636789080,AL(R),27,636789080,VM6,5813066684,v2LN5_R,v2LN5,v2LN5,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,5463,0.004942339373970346
5813069055,636789080,AL(R),50,636789080,VM6,5813069055,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,5463,0.009152480322167308
5813069085,636789080,AL(R),26,636789080,VM6,5813069085,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,5463,0.004759289767527
5813075196,636789080,AL(R),7,636789080,VM6,5813075196,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,5463,0.001281347245103423
5813078440,636789080,AL(R),46,636789080,VM6,5813078440,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,5463,0.008420281896393923
5813130064,636789080,AL(R),37,636789080,VM6,5813130064,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,5463,0.006772835438403808
5901206553,636789080,AL(R),8,636789080,VM6,5901206553,il3LN6_L,il3LN6,il3LN6,il3LN6,ALLN_broad,5463,0.0014643968515467693
5901218894,636789080,AL(R),28,636789080,VM6,5901218894,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,5463,0.005125388980413692
