bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,693479072,AL(R),7,693479072,VM7v,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1898,0.0036880927291886197
1578826464,693479072,AL(R),7,693479072,VM7v,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1898,0.0036880927291886197
1610530558,693479072,AL(R),6,693479072,VM7v,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1898,0.003161222339304531
1639886198,693479072,AL(R),1,693479072,VM7v,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1898,0.0005268703898840885
1640572741,693479072,AL(R),25,693479072,VM7v,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1898,0.013171759747102213
1640887603,693479072,AL(R),10,693479072,VM7v,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1898,0.005268703898840885
1640909284,693479072,AL(R),19,693479072,VM7v,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1898,0.010010537407797681
1640922516,693479072,AL(R),10,693479072,VM7v,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1898,0.005268703898840885
1640922754,693479072,AL(R),1,693479072,VM7v,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1898,0.0005268703898840885
1642623277,693479072,AL(R),4,693479072,VM7v,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1898,0.002107481559536354
1667251683,693479072,AL(R),5,693479072,VM7v,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1898,0.0026343519494204425
1668944259,693479072,AL(R),2,693479072,VM7v,1668944259,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,1898,0.001053740779768177
1669924220,693479072,AL(R),2,693479072,VM7v,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1898,0.001053740779768177
1670278227,693479072,AL(R),3,693479072,VM7v,1670278227,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,1898,0.0015806111696522655
