bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,5901222731,AL(R),47,5901222731,VP1d,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,3305,0.01422087745839637
1578826464,5901222731,AL(R),41,5901222731,VP1d,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,3305,0.012405446293494705
1610530558,5901222731,AL(R),50,5901222731,VP1d,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,3305,0.015128593040847202
1639886198,5901222731,AL(R),4,5901222731,VP1d,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,3305,0.001210287443267776
1640572741,5901222731,AL(R),18,5901222731,VP1d,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,3305,0.005446293494704993
1640887603,5901222731,AL(R),37,5901222731,VP1d,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,3305,0.011195158850226929
1640909284,5901222731,AL(R),13,5901222731,VP1d,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,3305,0.003933434190620273
1640922516,5901222731,AL(R),8,5901222731,VP1d,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,3305,0.002420574886535552
1640922754,5901222731,AL(R),20,5901222731,VP1d,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,3305,0.006051437216338881
1642623277,5901222731,AL(R),53,5901222731,VP1d,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,3305,0.016036308623298034
1669924220,5901222731,AL(R),3,5901222731,VP1d,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,3305,0.000907715582450832
1670287030,5901222731,AL(R),41,5901222731,VP1d,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,3305,0.012405446293494705
1670597533,5901222731,AL(R),52,5901222731,VP1d,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,3305,0.01573373676248109
1670627928,5901222731,AL(R),41,5901222731,VP1d,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,3305,0.012405446293494705
1671292719,5901222731,AL(R),5,5901222731,VP1d,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,3305,0.0015128593040847202
1671620613,5901222731,AL(R),20,5901222731,VP1d,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,3305,0.006051437216338881
1672320134,5901222731,AL(R),28,5901222731,VP1d,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,3305,0.008472012102874432
1699974843,5901222731,AL(R),11,5901222731,VP1d,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,3305,0.0033282904689863843
1700644008,5901222731,AL(R),1,5901222731,VP1d,1700644008,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,3305,0.000302571860816944
1701947337,5901222731,AL(R),6,5901222731,VP1d,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,3305,0.001815431164901664
1702306037,5901222731,AL(R),20,5901222731,VP1d,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,3305,0.006051437216338881
1702336197,5901222731,AL(R),3,5901222731,VP1d,1702336197,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,3305,0.000907715582450832
1702651358,5901222731,AL(R),48,5901222731,VP1d,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,3305,0.014523449319213313
1728294045,5901222731,AL(R),50,5901222731,VP1d,1728294045,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,3305,0.015128593040847202
1728294318,5901222731,AL(R),77,5901222731,VP1d,1728294318,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,3305,0.02329803328290469
