bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1639234609,AL(R),8,1639234609,VP1d,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1661,0.00481637567730283
1578826464,1639234609,AL(R),7,1639234609,VP1d,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1661,0.004214328717639976
1610530558,1639234609,AL(R),11,1639234609,VP1d,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1661,0.006622516556291391
1639886198,1639234609,AL(R),5,1639234609,VP1d,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1661,0.0030102347983142685
1640555311,1639234609,AL(R),8,1639234609,VP1d,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1661,0.00481637567730283
1640572741,1639234609,AL(R),10,1639234609,VP1d,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1661,0.006020469596628537
1640887603,1639234609,AL(R),7,1639234609,VP1d,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1661,0.004214328717639976
1640909284,1639234609,AL(R),25,1639234609,VP1d,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1661,0.015051173991571343
1640922516,1639234609,AL(R),15,1639234609,VP1d,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1661,0.009030704394942806
1640922754,1639234609,AL(R),3,1639234609,VP1d,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1661,0.001806140878988561
1642623277,1639234609,AL(R),15,1639234609,VP1d,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1661,0.009030704394942806
1670287030,1639234609,AL(R),15,1639234609,VP1d,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1661,0.009030704394942806
1670597533,1639234609,AL(R),7,1639234609,VP1d,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1661,0.004214328717639976
1670627928,1639234609,AL(R),13,1639234609,VP1d,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1661,0.007826610475617099
1671257931,1639234609,AL(R),3,1639234609,VP1d,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1661,0.001806140878988561
1672320134,1639234609,AL(R),3,1639234609,VP1d,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1661,0.001806140878988561
1699974843,1639234609,AL(R),13,1639234609,VP1d,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1661,0.007826610475617099
1701947337,1639234609,AL(R),7,1639234609,VP1d,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1661,0.004214328717639976
