bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,603785283,AL(R),2,603785283,VP1l,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1376,0.0014534883720930232
1578826464,603785283,AL(R),1,603785283,VP1l,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1376,0.0007267441860465116
1610530558,603785283,AL(R),1,603785283,VP1l,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1376,0.0007267441860465116
1639886198,603785283,AL(R),5,603785283,VP1l,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1376,0.003633720930232558
1640572741,603785283,AL(R),3,603785283,VP1l,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1376,0.002180232558139535
1640887603,603785283,AL(R),2,603785283,VP1l,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1376,0.0014534883720930232
1640909284,603785283,AL(R),3,603785283,VP1l,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1376,0.002180232558139535
1640922516,603785283,AL(R),4,603785283,VP1l,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1376,0.0029069767441860465
1640922754,603785283,AL(R),2,603785283,VP1l,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1376,0.0014534883720930232
1670278227,603785283,AL(R),3,603785283,VP1l,1670278227,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,1376,0.002180232558139535
1670287030,603785283,AL(R),4,603785283,VP1l,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1376,0.0029069767441860465
1670597533,603785283,AL(R),3,603785283,VP1l,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1376,0.002180232558139535
1670627928,603785283,AL(R),2,603785283,VP1l,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1376,0.0014534883720930232
1672320134,603785283,AL(R),3,603785283,VP1l,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1376,0.002180232558139535
1699974843,603785283,AL(R),1,603785283,VP1l,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1376,0.0007267441860465116
1701947337,603785283,AL(R),2,603785283,VP1l,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1376,0.0014534883720930232
1702306037,603785283,AL(R),2,603785283,VP1l,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1376,0.0014534883720930232
1730327790,603785283,AL(R),4,603785283,VP1l,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1376,0.0029069767441860465
1732995501,603785283,AL(R),4,603785283,VP1l,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1376,0.0029069767441860465
1762704980,603785283,AL(R),7,603785283,VP1l,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1376,0.005087209302325582
1824101645,603785283,AL(R),1,603785283,VP1l,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1376,0.0007267441860465116
1826445251,603785283,AL(R),1,603785283,VP1l,1826445251,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,1376,0.0007267441860465116
1826458709,603785283,AL(R),1,603785283,VP1l,1826458709,v2LN34d_R,v2LN34D,v2LN34D,v2LN34-35,ALLN_sparse,1376,0.0007267441860465116
1826825128,603785283,AL(R),6,603785283,VP1l,1826825128,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,1376,0.00436046511627907
1858171556,603785283,AL(R),8,603785283,VP1l,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1376,0.005813953488372093
1883443069,603785283,AL(R),1,603785283,VP1l,1883443069,v2LN38_R,v2LN38,v2LN38,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,1376,0.0007267441860465116
1883788812,603785283,AL(R),1,603785283,VP1l,1883788812,v2LN50_R,v2LN50,v2LN50,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,1376,0.0007267441860465116
1887518225,603785283,AL(R),3,603785283,VP1l,1887518225,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,1376,0.002180232558139535
1915155414,603785283,AL(R),1,603785283,VP1l,1915155414,v2LN39b_R,v2LN39B,v2LN39B,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,1376,0.0007267441860465116
1916800213,603785283,AL(R),11,603785283,VP1l,1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1376,0.007994186046511628
1919208947,603785283,AL(R),1,603785283,VP1l,1919208947,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,1376,0.0007267441860465116
1946178096,603785283,AL(R),2,603785283,VP1l,1946178096,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1376,0.0014534883720930232
1979569670,603785283,AL(R),1,603785283,VP1l,1979569670,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,1376,0.0007267441860465116
2007578488,603785283,AL(R),7,603785283,VP1l,2007578488,l2LN20_R,l2LN20,l2LN20,l2LN20,ALLN_sparse,1376,0.005087209302325582
2007578510,603785283,AL(R),12,603785283,VP1l,2007578510,l2LN20_R,l2LN20,l2LN20,l2LN20,ALLN_sparse,1376,0.00872093023255814
2008921702,603785283,AL(R),1,603785283,VP1l,2008921702,v2LN45_R,v2LN45,v2LN45,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,1376,0.0007267441860465116
2038280489,603785283,AL(R),3,603785283,VP1l,2038280489,v2LN38_R,v2LN38,v2LN38,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,1376,0.002180232558139535
2039273648,603785283,AL(R),1,603785283,VP1l,2039273648,v2LN2_R,v2LN2,v2LN2,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,1376,0.0007267441860465116
2069989274,603785283,AL(R),3,603785283,VP1l,2069989274,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,1376,0.002180232558139535
2100666288,603785283,AL(R),4,603785283,VP1l,2100666288,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,1376,0.0029069767441860465
2101015643,603785283,AL(R),14,603785283,VP1l,2101015643,v2LN41_R,v2LN41,v2LN41,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,1376,0.010174418604651164
2101339904,603785283,AL(R),6,603785283,VP1l,2101339904,l2LN22_R,l2LN22,l2LN22,l2LN21-23,ALLN_sparse,1376,0.00436046511627907
2101348562,603785283,AL(R),61,603785283,VP1l,2101348562,v2LN49_R,v2LN49,v2LN49,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,1376,0.04433139534883721
2132375072,603785283,AL(R),41,603785283,VP1l,2132375072,v2LN49_R,v2LN49,v2LN49,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,1376,0.029796511627906978
5813003258,603785283,AL(R),3,603785283,VP1l,5813003258,l2LN22_R,l2LN22,l2LN22,l2LN21-23,ALLN_sparse,1376,0.002180232558139535
5813024339,603785283,AL(R),9,603785283,VP1l,5813024339,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,1376,0.006540697674418605
5813024698,603785283,AL(R),11,603785283,VP1l,5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1376,0.007994186046511628
5813034493,603785283,AL(R),2,603785283,VP1l,5813034493,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_regional,1376,0.0014534883720930232
5813034531,603785283,AL(R),3,603785283,VP1l,5813034531,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,1376,0.002180232558139535
5813047691,603785283,AL(R),2,603785283,VP1l,5813047691,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1376,0.0014534883720930232
5813054622,603785283,AL(R),1,603785283,VP1l,5813054622,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1376,0.0007267441860465116
5813054725,603785283,AL(R),1,603785283,VP1l,5813054725,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1376,0.0007267441860465116
5813054726,603785283,AL(R),4,603785283,VP1l,5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1376,0.0029069767441860465
5813054773,603785283,AL(R),3,603785283,VP1l,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,1376,0.002180232558139535
5813054777,603785283,AL(R),1,603785283,VP1l,5813054777,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1376,0.0007267441860465116
5813055277,603785283,AL(R),1,603785283,VP1l,5813055277,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1376,0.0007267441860465116
5813056598,603785283,AL(R),4,603785283,VP1l,5813056598,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1376,0.0029069767441860465
5813062199,603785283,AL(R),4,603785283,VP1l,5813062199,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1376,0.0029069767441860465
5813069055,603785283,AL(R),2,603785283,VP1l,5813069055,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1376,0.0014534883720930232
5813069085,603785283,AL(R),6,603785283,VP1l,5813069085,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1376,0.00436046511627907
5813071384,603785283,AL(R),3,603785283,VP1l,5813071384,vLN26_R,vLN26,vLN26,vLN26,ALLN_sparse,1376,0.002180232558139535
5813075196,603785283,AL(R),7,603785283,VP1l,5813075196,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,1376,0.005087209302325582
5813078440,603785283,AL(R),10,603785283,VP1l,5813078440,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1376,0.007267441860465116
5813102390,603785283,AL(R),21,603785283,VP1l,5813102390,v2LN2_R,v2LN2,v2LN2,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,1376,0.015261627906976744
5813130064,603785283,AL(R),3,603785283,VP1l,5813130064,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1376,0.002180232558139535
5813132949,603785283,AL(R),14,603785283,VP1l,5813132949,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1376,0.010174418604651164
5901194966,603785283,AL(R),1,603785283,VP1l,5901194966,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,1376,0.0007267441860465116
5901199598,603785283,AL(R),45,603785283,VP1l,5901199598,v2LN41_R,v2LN41,v2LN41,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,1376,0.032703488372093026
5901218894,603785283,AL(R),2,603785283,VP1l,5901218894,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1376,0.0014534883720930232
