bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1670287030,509626405,AL(R),1,509626405,VP1l,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,346,0.002890173410404624
1701947337,509626405,AL(R),1,509626405,VP1l,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,346,0.002890173410404624
1761345315,509626405,AL(R),3,509626405,VP1l,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,346,0.008670520231213872
1763037543,509626405,AL(R),6,509626405,VP1l,1763037543,vLN24,vLN24,vLN24,vLN24-25,ALLN_regional,346,0.017341040462427744
1764388538,509626405,AL(R),1,509626405,VP1l,1764388538,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,346,0.002890173410404624
1857799548,509626405,AL(R),3,509626405,VP1l,1857799548,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,346,0.008670520231213872
1887177026,509626405,AL(R),1,509626405,VP1l,1887177026,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,346,0.002890173410404624
2101015643,509626405,AL(R),14,509626405,VP1l,2101015643,v2LN41_R,v2LN41,v2LN41,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,346,0.04046242774566474
2101348562,509626405,AL(R),5,509626405,VP1l,2101348562,v2LN49_R,v2LN49,v2LN49,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,346,0.014450867052023121
2132375072,509626405,AL(R),5,509626405,VP1l,2132375072,v2LN49_R,v2LN49,v2LN49,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,346,0.014450867052023121
2135408892,509626405,AL(R),2,509626405,VP1l,2135408892,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,346,0.005780346820809248
5813024698,509626405,AL(R),1,509626405,VP1l,5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,346,0.002890173410404624
5813034531,509626405,AL(R),1,509626405,VP1l,5813034531,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,346,0.002890173410404624
5813054773,509626405,AL(R),1,509626405,VP1l,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,346,0.002890173410404624
5813054777,509626405,AL(R),1,509626405,VP1l,5813054777,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,346,0.002890173410404624
5813055277,509626405,AL(R),1,509626405,VP1l,5813055277,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,346,0.002890173410404624
5813056598,509626405,AL(R),1,509626405,VP1l,5813056598,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,346,0.002890173410404624
5813069055,509626405,AL(R),1,509626405,VP1l,5813069055,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,346,0.002890173410404624
5813069085,509626405,AL(R),1,509626405,VP1l,5813069085,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,346,0.002890173410404624
5813075196,509626405,AL(R),3,509626405,VP1l,5813075196,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,346,0.008670520231213872
5813078440,509626405,AL(R),1,509626405,VP1l,5813078440,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,346,0.002890173410404624
5901194966,509626405,AL(R),1,509626405,VP1l,5901194966,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,346,0.002890173410404624
5901199598,509626405,AL(R),11,509626405,VP1l,5901199598,v2LN41_R,v2LN41,v2LN41,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,346,0.031791907514450865
5901218894,509626405,AL(R),1,509626405,VP1l,5901218894,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,346,0.002890173410404624
