bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1755556097,AL(R),14,1755556097,VP1l,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1549,0.009038089089735314
1578826464,1755556097,AL(R),20,1755556097,VP1l,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1549,0.012911555842479019
1610530558,1755556097,AL(R),16,1755556097,VP1l,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1549,0.010329244673983214
1640572741,1755556097,AL(R),16,1755556097,VP1l,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1549,0.010329244673983214
1640887603,1755556097,AL(R),7,1755556097,VP1l,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1549,0.004519044544867657
1640909284,1755556097,AL(R),7,1755556097,VP1l,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1549,0.004519044544867657
1640922516,1755556097,AL(R),16,1755556097,VP1l,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1549,0.010329244673983214
1640922754,1755556097,AL(R),4,1755556097,VP1l,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1549,0.0025823111684958036
1642623277,1755556097,AL(R),9,1755556097,VP1l,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1549,0.005810200129115558
1670287030,1755556097,AL(R),20,1755556097,VP1l,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1549,0.012911555842479019
1670597533,1755556097,AL(R),9,1755556097,VP1l,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1549,0.005810200129115558
1670627928,1755556097,AL(R),9,1755556097,VP1l,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1549,0.005810200129115558
1671257931,1755556097,AL(R),6,1755556097,VP1l,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1549,0.003873466752743706
1672320134,1755556097,AL(R),23,1755556097,VP1l,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1549,0.014848289218850872
1699974843,1755556097,AL(R),8,1755556097,VP1l,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1549,0.005164622336991607
1702306037,1755556097,AL(R),1,1755556097,VP1l,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1549,0.0006455777921239509
1702651358,1755556097,AL(R),5,1755556097,VP1l,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1549,0.0032278889606197547
1704347707,1755556097,AL(R),3,1755556097,VP1l,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1549,0.001936733376371853
1730327790,1755556097,AL(R),22,1755556097,VP1l,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1549,0.014202711426726921
1732995501,1755556097,AL(R),6,1755556097,VP1l,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1549,0.003873466752743706
1762354941,1755556097,AL(R),10,1755556097,VP1l,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1549,0.006455777921239509
1762359683,1755556097,AL(R),3,1755556097,VP1l,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1549,0.001936733376371853
1762704980,1755556097,AL(R),3,1755556097,VP1l,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1549,0.001936733376371853
1764388538,1755556097,AL(R),1,1755556097,VP1l,1764388538,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,1549,0.0006455777921239509
1793744512,1755556097,AL(R),1,1755556097,VP1l,1793744512,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,1549,0.0006455777921239509
1794037618,1755556097,AL(R),1,1755556097,VP1l,1794037618,vLN25,vLN25,vLN25,vLN24-25,ALLN_regional,1549,0.0006455777921239509
1824101645,1755556097,AL(R),14,1755556097,VP1l,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1549,0.009038089089735314
1857799548,1755556097,AL(R),5,1755556097,VP1l,1857799548,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,1549,0.0032278889606197547
1858171556,1755556097,AL(R),13,1755556097,VP1l,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1549,0.008392511297611363
1915155414,1755556097,AL(R),3,1755556097,VP1l,1915155414,v2LN39b_R,v2LN39B,v2LN39B,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,1549,0.001936733376371853
1916800213,1755556097,AL(R),23,1755556097,VP1l,1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1549,0.014848289218850872
1946178096,1755556097,AL(R),15,1755556097,VP1l,1946178096,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1549,0.009683666881859263
1977881942,1755556097,AL(R),1,1755556097,VP1l,1977881942,v2LN42_R,v2LN42,v2LN42,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,1549,0.0006455777921239509
2007578488,1755556097,AL(R),12,1755556097,VP1l,2007578488,l2LN20_R,l2LN20,l2LN20,l2LN20,ALLN_sparse,1549,0.007746933505487412
2007578510,1755556097,AL(R),19,1755556097,VP1l,2007578510,l2LN20_R,l2LN20,l2LN20,l2LN20,ALLN_sparse,1549,0.012265978050355068
2101015643,1755556097,AL(R),4,1755556097,VP1l,2101015643,v2LN41_R,v2LN41,v2LN41,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,1549,0.0025823111684958036
2101339904,1755556097,AL(R),5,1755556097,VP1l,2101339904,l2LN22_R,l2LN22,l2LN22,l2LN21-23,ALLN_sparse,1549,0.0032278889606197547
2101348562,1755556097,AL(R),45,1755556097,VP1l,2101348562,v2LN49_R,v2LN49,v2LN49,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,1549,0.029051000645577793
2132374646,1755556097,AL(R),9,1755556097,VP1l,2132374646,v2LN2_R,v2LN2,v2LN2,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,1549,0.005810200129115558
2132375072,1755556097,AL(R),40,1755556097,VP1l,2132375072,v2LN49_R,v2LN49,v2LN49,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,1549,0.025823111684958037
5813003258,1755556097,AL(R),6,1755556097,VP1l,5813003258,l2LN22_R,l2LN22,l2LN22,l2LN21-23,ALLN_sparse,1549,0.003873466752743706
5813024339,1755556097,AL(R),19,1755556097,VP1l,5813024339,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,1549,0.012265978050355068
5813024698,1755556097,AL(R),17,1755556097,VP1l,5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1549,0.010974822466107165
5813032595,1755556097,AL(R),37,1755556097,VP1l,5813032595,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1549,0.023886378308586184
5813034493,1755556097,AL(R),24,1755556097,VP1l,5813034493,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_regional,1549,0.015493867010974823
5813034531,1755556097,AL(R),5,1755556097,VP1l,5813034531,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,1549,0.0032278889606197547
5813040492,1755556097,AL(R),1,1755556097,VP1l,5813040492,v2LN38_L,v2LN38,v2LN38,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,1549,0.0006455777921239509
5813047691,1755556097,AL(R),12,1755556097,VP1l,5813047691,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1549,0.007746933505487412
5813054622,1755556097,AL(R),12,1755556097,VP1l,5813054622,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1549,0.007746933505487412
