bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,2069648663,AL(R),7,2069648663,VP1m,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1670,0.004191616766467066
1578826464,2069648663,AL(R),7,2069648663,VP1m,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1670,0.004191616766467066
1610530558,2069648663,AL(R),4,2069648663,VP1m,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1670,0.0023952095808383233
1639886198,2069648663,AL(R),14,2069648663,VP1m,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1670,0.008383233532934131
1640555311,2069648663,AL(R),5,2069648663,VP1m,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1670,0.0029940119760479044
1640572741,2069648663,AL(R),9,2069648663,VP1m,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1670,0.005389221556886228
1640887603,2069648663,AL(R),6,2069648663,VP1m,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1670,0.003592814371257485
1640909284,2069648663,AL(R),33,2069648663,VP1m,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1670,0.01976047904191617
1640922516,2069648663,AL(R),12,2069648663,VP1m,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1670,0.00718562874251497
1642623277,2069648663,AL(R),7,2069648663,VP1m,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1670,0.004191616766467066
1670287030,2069648663,AL(R),9,2069648663,VP1m,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1670,0.005389221556886228
1670597533,2069648663,AL(R),12,2069648663,VP1m,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1670,0.00718562874251497
1670627928,2069648663,AL(R),3,2069648663,VP1m,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1670,0.0017964071856287425
1670916819,2069648663,AL(R),1,2069648663,VP1m,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,1670,0.0005988023952095808
1671257931,2069648663,AL(R),7,2069648663,VP1m,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1670,0.004191616766467066
1672320134,2069648663,AL(R),6,2069648663,VP1m,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1670,0.003592814371257485
1699974843,2069648663,AL(R),2,2069648663,VP1m,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1670,0.0011976047904191617
1702306037,2069648663,AL(R),2,2069648663,VP1m,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1670,0.0011976047904191617
1702336197,2069648663,AL(R),1,2069648663,VP1m,1702336197,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,1670,0.0005988023952095808
1702651358,2069648663,AL(R),7,2069648663,VP1m,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1670,0.004191616766467066
1730327790,2069648663,AL(R),18,2069648663,VP1m,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1670,0.010778443113772455
1732995501,2069648663,AL(R),2,2069648663,VP1m,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1670,0.0011976047904191617
1733056086,2069648663,AL(R),1,2069648663,VP1m,1733056086,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,1670,0.0005988023952095808
