bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1610530558,664814903,AL(R),1,664814903,VP1m,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,689,0.001451378809869376
1639886198,664814903,AL(R),2,664814903,VP1m,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,689,0.002902757619738752
1640572741,664814903,AL(R),2,664814903,VP1m,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,689,0.002902757619738752
1640909284,664814903,AL(R),2,664814903,VP1m,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,689,0.002902757619738752
1642623277,664814903,AL(R),2,664814903,VP1m,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,689,0.002902757619738752
1670287030,664814903,AL(R),4,664814903,VP1m,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,689,0.005805515239477504
1670597533,664814903,AL(R),3,664814903,VP1m,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,689,0.0043541364296081275
1670916819,664814903,AL(R),1,664814903,VP1m,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,689,0.001451378809869376
1671257931,664814903,AL(R),4,664814903,VP1m,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,689,0.005805515239477504
1701947337,664814903,AL(R),2,664814903,VP1m,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,689,0.002902757619738752
1730327790,664814903,AL(R),1,664814903,VP1m,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,689,0.001451378809869376
1732995501,664814903,AL(R),1,664814903,VP1m,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,689,0.001451378809869376
1761345315,664814903,AL(R),2,664814903,VP1m,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,689,0.002902757619738752
1762359683,664814903,AL(R),1,664814903,VP1m,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,689,0.001451378809869376
1762704980,664814903,AL(R),1,664814903,VP1m,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,689,0.001451378809869376
1824101645,664814903,AL(R),1,664814903,VP1m,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,689,0.001451378809869376
1825789179,664814903,AL(R),3,664814903,VP1m,1825789179,lLN10_R,lLN10,lLN10,lLN10-17,ALLN_regional,689,0.0043541364296081275
1826825128,664814903,AL(R),10,664814903,VP1m,1826825128,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,689,0.01451378809869376
1858171556,664814903,AL(R),2,664814903,VP1m,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,689,0.002902757619738752
1887177026,664814903,AL(R),9,664814903,VP1m,1887177026,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,689,0.013062409288824383
1887867926,664814903,AL(R),7,664814903,VP1m,1887867926,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,689,0.010159651669085631
1916800213,664814903,AL(R),1,664814903,VP1m,1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,689,0.001451378809869376
1918207300,664814903,AL(R),1,664814903,VP1m,1918207300,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,689,0.001451378809869376
1946178096,664814903,AL(R),1,664814903,VP1m,1946178096,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,689,0.001451378809869376
2007578488,664814903,AL(R),2,664814903,VP1m,2007578488,l2LN20_R,l2LN20,l2LN20,l2LN20,ALLN_sparse,689,0.002902757619738752
2007578510,664814903,AL(R),1,664814903,VP1m,2007578510,l2LN20_R,l2LN20,l2LN20,l2LN20,ALLN_sparse,689,0.001451378809869376
2008926220,664814903,AL(R),1,664814903,VP1m,2008926220,v2LN39b_R,v2LN39B,v2LN39B,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,689,0.001451378809869376
2069989274,664814903,AL(R),13,664814903,VP1m,2069989274,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,689,0.018867924528301886
2100666288,664814903,AL(R),1,664814903,VP1m,2100666288,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,689,0.001451378809869376
2105086391,664814903,AL(R),1,664814903,VP1m,2105086391,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,689,0.001451378809869376
2132374646,664814903,AL(R),5,664814903,VP1m,2132374646,v2LN2_R,v2LN2,v2LN2,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,689,0.00725689404934688
2132375072,664814903,AL(R),2,664814903,VP1m,2132375072,v2LN49_R,v2LN49,v2LN49,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,689,0.002902757619738752
2256863785,664814903,AL(R),19,664814903,VP1m,2256863785,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,689,0.027576197387518143
