bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,5813056072,AL(R),61,5813056072,VP1m,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,4150,0.014698795180722892
1578826464,5813056072,AL(R),56,5813056072,VP1m,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,4150,0.013493975903614458
1610530558,5813056072,AL(R),54,5813056072,VP1m,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,4150,0.013012048192771084
1639886198,5813056072,AL(R),29,5813056072,VP1m,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,4150,0.006987951807228916
1640555311,5813056072,AL(R),17,5813056072,VP1m,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,4150,0.004096385542168675
1640572741,5813056072,AL(R),47,5813056072,VP1m,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,4150,0.011325301204819277
1640887603,5813056072,AL(R),44,5813056072,VP1m,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,4150,0.010602409638554217
1640909284,5813056072,AL(R),65,5813056072,VP1m,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,4150,0.01566265060240964
1640922516,5813056072,AL(R),48,5813056072,VP1m,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,4150,0.011566265060240964
1640922754,5813056072,AL(R),8,5813056072,VP1m,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,4150,0.0019277108433734939
1642623277,5813056072,AL(R),64,5813056072,VP1m,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,4150,0.015421686746987951
