bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1610530558,1881401277,AL(R),1,1881401277,VP2,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,442,0.0022624434389140274
1640572741,1881401277,AL(R),2,1881401277,VP2,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,442,0.004524886877828055
1640909284,1881401277,AL(R),2,1881401277,VP2,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,442,0.004524886877828055
1642623277,1881401277,AL(R),2,1881401277,VP2,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,442,0.004524886877828055
1670287030,1881401277,AL(R),4,1881401277,VP2,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,442,0.00904977375565611
1670597533,1881401277,AL(R),1,1881401277,VP2,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,442,0.0022624434389140274
1670627928,1881401277,AL(R),4,1881401277,VP2,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,442,0.00904977375565611
1671292719,1881401277,AL(R),1,1881401277,VP2,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,442,0.0022624434389140274
1702306037,1881401277,AL(R),2,1881401277,VP2,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,442,0.004524886877828055
1702651358,1881401277,AL(R),1,1881401277,VP2,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,442,0.0022624434389140274
1704347707,1881401277,AL(R),1,1881401277,VP2,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,442,0.0022624434389140274
1732995501,1881401277,AL(R),2,1881401277,VP2,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,442,0.004524886877828055
1762354941,1881401277,AL(R),3,1881401277,VP2,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,442,0.006787330316742082
1762359683,1881401277,AL(R),1,1881401277,VP2,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,442,0.0022624434389140274
1762704980,1881401277,AL(R),1,1881401277,VP2,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,442,0.0022624434389140274
1793744512,1881401277,AL(R),1,1881401277,VP2,1793744512,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,442,0.0022624434389140274
1858171556,1881401277,AL(R),1,1881401277,VP2,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,442,0.0022624434389140274
1887168462,1881401277,AL(R),2,1881401277,VP2,1887168462,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,442,0.004524886877828055
1887177026,1881401277,AL(R),1,1881401277,VP2,1887177026,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,442,0.0022624434389140274
1916485259,1881401277,AL(R),1,1881401277,VP2,1916485259,v2LN37_R,v2LN37,v2LN37,v2LN30/v2LN37,ALLN_regional,442,0.0022624434389140274
1916800213,1881401277,AL(R),1,1881401277,VP2,1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,442,0.0022624434389140274
1918207300,1881401277,AL(R),3,1881401277,VP2,1918207300,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,442,0.006787330316742082
2008926220,1881401277,AL(R),4,1881401277,VP2,2008926220,v2LN39b_R,v2LN39B,v2LN39B,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,442,0.00904977375565611
2039273648,1881401277,AL(R),1,1881401277,VP2,2039273648,v2LN2_R,v2LN2,v2LN2,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,442,0.0022624434389140274
2069989274,1881401277,AL(R),17,1881401277,VP2,2069989274,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,442,0.038461538461538464
2100666288,1881401277,AL(R),2,1881401277,VP2,2100666288,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,442,0.004524886877828055
