bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1639886198,1225100939,AL(R),1,1225100939,VP2,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,520,0.0019230769230769232
1640555311,1225100939,AL(R),2,1225100939,VP2,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,520,0.0038461538461538464
1640909284,1225100939,AL(R),1,1225100939,VP2,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,520,0.0019230769230769232
1670287030,1225100939,AL(R),1,1225100939,VP2,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,520,0.0019230769230769232
1670597533,1225100939,AL(R),1,1225100939,VP2,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,520,0.0019230769230769232
1671620613,1225100939,AL(R),1,1225100939,VP2,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,520,0.0019230769230769232
1730327790,1225100939,AL(R),2,1225100939,VP2,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,520,0.0038461538461538464
1730979793,1225100939,AL(R),5,1225100939,VP2,1730979793,v2LN31_R,v2LN31,v2LN31,v2LN31,ALLN_sparse,520,0.009615384615384616
1762354941,1225100939,AL(R),3,1225100939,VP2,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,520,0.0057692307692307696
1762704980,1225100939,AL(R),1,1225100939,VP2,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,520,0.0019230769230769232
1794037618,1225100939,AL(R),1,1225100939,VP2,1794037618,vLN25,vLN25,vLN25,vLN24-25,ALLN_regional,520,0.0019230769230769232
1820721562,1225100939,AL(R),2,1225100939,VP2,1820721562,v2LN32_R,v2LN32,v2LN32,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,520,0.0038461538461538464
1883443069,1225100939,AL(R),1,1225100939,VP2,1883443069,v2LN38_R,v2LN38,v2LN38,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,520,0.0019230769230769232
1887867926,1225100939,AL(R),1,1225100939,VP2,1887867926,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,520,0.0019230769230769232
1915155414,1225100939,AL(R),2,1225100939,VP2,1915155414,v2LN39b_R,v2LN39B,v2LN39B,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,520,0.0038461538461538464
1916800213,1225100939,AL(R),1,1225100939,VP2,1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,520,0.0019230769230769232
1946178096,1225100939,AL(R),1,1225100939,VP2,1946178096,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,520,0.0019230769230769232
1976565858,1225100939,AL(R),11,1225100939,VP2,1976565858,l2LN21_R,l2LN21,l2LN21,l2LN21-23,ALLN_sparse,520,0.021153846153846155
2007578488,1225100939,AL(R),31,1225100939,VP2,2007578488,l2LN20_R,l2LN20,l2LN20,l2LN20,ALLN_sparse,520,0.05961538461538462
2007578510,1225100939,AL(R),30,1225100939,VP2,2007578510,l2LN20_R,l2LN20,l2LN20,l2LN20,ALLN_sparse,520,0.057692307692307696
2069648213,1225100939,AL(R),1,1225100939,VP2,2069648213,l2LN23,l2LN23,l2LN23,l2LN21-23,ALLN_sparse,520,0.0019230769230769232
2105086391,1225100939,AL(R),1,1225100939,VP2,2105086391,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,520,0.0019230769230769232
5813018460,1225100939,AL(R),2,1225100939,VP2,5813018460,il3LN6_R,il3LN6,il3LN6,il3LN6,ALLN_broad,520,0.0038461538461538464
5813018847,1225100939,AL(R),1,1225100939,VP2,5813018847,vLN27_R,vLN27,vLN27,vLN27-29,ALLN_sparse,520,0.0019230769230769232
5813024339,1225100939,AL(R),3,1225100939,VP2,5813024339,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,520,0.0057692307692307696
5813034531,1225100939,AL(R),1,1225100939,VP2,5813034531,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,520,0.0019230769230769232
5813040492,1225100939,AL(R),2,1225100939,VP2,5813040492,v2LN38_L,v2LN38,v2LN38,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,520,0.0038461538461538464
5813054726,1225100939,AL(R),2,1225100939,VP2,5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,520,0.0038461538461538464
5813054773,1225100939,AL(R),6,1225100939,VP2,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,520,0.011538461538461539
5813075196,1225100939,AL(R),1,1225100939,VP2,5813075196,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,520,0.0019230769230769232
5813078133,1225100939,AL(R),5,1225100939,VP2,5813078133,v2LN33_R,v2LN33,v2LN33,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,520,0.009615384615384616
5901218894,1225100939,AL(R),1,1225100939,VP2,5901218894,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,520,0.0019230769230769232
