bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1975878958,AL(R),23,1975878958,VP2,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,3807,0.006041502495403204
1578826464,1975878958,AL(R),23,1975878958,VP2,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,3807,0.006041502495403204
1610530558,1975878958,AL(R),47,1975878958,VP2,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,3807,0.012345679012345678
1639886198,1975878958,AL(R),3,1975878958,VP2,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,3807,0.0007880220646178094
1640555311,1975878958,AL(R),6,1975878958,VP2,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,3807,0.0015760441292356187
1640572741,1975878958,AL(R),46,1975878958,VP2,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,3807,0.012083004990806409
1640887603,1975878958,AL(R),30,1975878958,VP2,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,3807,0.007880220646178092
1640909284,1975878958,AL(R),66,1975878958,VP2,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,3807,0.017336485421591805
1640922516,1975878958,AL(R),14,1975878958,VP2,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,3807,0.0036774363015497765
1640922754,1975878958,AL(R),19,1975878958,VP2,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,3807,0.004990806409246125
1642623277,1975878958,AL(R),43,1975878958,VP2,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,3807,0.0112949829261886
1667251683,1975878958,AL(R),1,1975878958,VP2,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,3807,0.0002626740215392698
1670287030,1975878958,AL(R),34,1975878958,VP2,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,3807,0.008930916732335172
1670597533,1975878958,AL(R),37,1975878958,VP2,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,3807,0.009718938796952981
1670627928,1975878958,AL(R),23,1975878958,VP2,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,3807,0.006041502495403204
1670916819,1975878958,AL(R),1,1975878958,VP2,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,3807,0.0002626740215392698
1671257931,1975878958,AL(R),3,1975878958,VP2,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,3807,0.0007880220646178094
1671292719,1975878958,AL(R),4,1975878958,VP2,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,3807,0.0010506960861570791
1672320134,1975878958,AL(R),39,1975878958,VP2,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,3807,0.01024428684003152
