bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1639886198,5813069447,AL(R),1,5813069447,VP2,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,935,0.0010695187165775401
1640555311,5813069447,AL(R),4,5813069447,VP2,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,935,0.0042780748663101605
1640572741,5813069447,AL(R),2,5813069447,VP2,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,935,0.0021390374331550803
1640909284,5813069447,AL(R),6,5813069447,VP2,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,935,0.006417112299465241
1640922754,5813069447,AL(R),3,5813069447,VP2,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,935,0.0032085561497326204
1642623277,5813069447,AL(R),1,5813069447,VP2,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,935,0.0010695187165775401
1670287030,5813069447,AL(R),4,5813069447,VP2,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,935,0.0042780748663101605
1670597533,5813069447,AL(R),1,5813069447,VP2,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,935,0.0010695187165775401
1670627928,5813069447,AL(R),1,5813069447,VP2,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,935,0.0010695187165775401
1728315957,5813069447,AL(R),4,5813069447,VP2,1728315957,v2LN33_R,v2LN33,v2LN33,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,935,0.0042780748663101605
1730327790,5813069447,AL(R),5,5813069447,VP2,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,935,0.0053475935828877
1732995501,5813069447,AL(R),2,5813069447,VP2,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,935,0.0021390374331550803
1761345315,5813069447,AL(R),1,5813069447,VP2,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,935,0.0010695187165775401
1762354941,5813069447,AL(R),1,5813069447,VP2,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,935,0.0010695187165775401
1762704980,5813069447,AL(R),15,5813069447,VP2,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,935,0.016042780748663103
1790364325,5813069447,AL(R),1,5813069447,VP2,1790364325,v2LN44_R,v2LN44,v2LN44,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,935,0.0010695187165775401
1820721562,5813069447,AL(R),4,5813069447,VP2,1820721562,v2LN32_R,v2LN32,v2LN32,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,935,0.0042780748663101605
1824101645,5813069447,AL(R),1,5813069447,VP2,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,935,0.0010695187165775401
1826445251,5813069447,AL(R),1,5813069447,VP2,1826445251,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,935,0.0010695187165775401
1883443069,5813069447,AL(R),1,5813069447,VP2,1883443069,v2LN38_R,v2LN38,v2LN38,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,935,0.0010695187165775401
1883788812,5813069447,AL(R),1,5813069447,VP2,1883788812,v2LN50_R,v2LN50,v2LN50,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,935,0.0010695187165775401
1913480167,5813069447,AL(R),3,5813069447,VP2,1913480167,v2LN33_R,v2LN33,v2LN33,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,935,0.0032085561497326204
1916800213,5813069447,AL(R),5,5813069447,VP2,1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,935,0.0053475935828877
1976565858,5813069447,AL(R),99,5813069447,VP2,1976565858,l2LN21_R,l2LN21,l2LN21,l2LN21-23,ALLN_sparse,935,0.10588235294117647
1977881942,5813069447,AL(R),1,5813069447,VP2,1977881942,v2LN42_R,v2LN42,v2LN42,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,935,0.0010695187165775401
2007578488,5813069447,AL(R),36,5813069447,VP2,2007578488,l2LN20_R,l2LN20,l2LN20,l2LN20,ALLN_sparse,935,0.038502673796791446
2007578510,5813069447,AL(R),25,5813069447,VP2,2007578510,l2LN20_R,l2LN20,l2LN20,l2LN20,ALLN_sparse,935,0.026737967914438502
2008926220,5813069447,AL(R),1,5813069447,VP2,2008926220,v2LN39b_R,v2LN39B,v2LN39B,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,935,0.0010695187165775401
2038280489,5813069447,AL(R),2,5813069447,VP2,2038280489,v2LN38_R,v2LN38,v2LN38,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,935,0.0021390374331550803
2101348562,5813069447,AL(R),1,5813069447,VP2,2101348562,v2LN49_R,v2LN49,v2LN49,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,935,0.0010695187165775401
2101391269,5813069447,AL(R),1,5813069447,VP2,2101391269,vLN28_R,vLN28,vLN28,vLN27-29,ALLN_sparse,935,0.0010695187165775401
2105086391,5813069447,AL(R),4,5813069447,VP2,2105086391,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,935,0.0042780748663101605
5812996027,5813069447,AL(R),2,5813069447,VP2,5812996027,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,935,0.0021390374331550803
5813018729,5813069447,AL(R),1,5813069447,VP2,5813018729,vLN25_R,vLN25,vLN25,vLN24-25,ALLN_regional,935,0.0010695187165775401
5813018847,5813069447,AL(R),1,5813069447,VP2,5813018847,vLN27_R,vLN27,vLN27,vLN27-29,ALLN_sparse,935,0.0010695187165775401
5813024339,5813069447,AL(R),2,5813069447,VP2,5813024339,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,935,0.0021390374331550803
5813024698,5813069447,AL(R),6,5813069447,VP2,5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,935,0.006417112299465241
5813034493,5813069447,AL(R),4,5813069447,VP2,5813034493,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_regional,935,0.0042780748663101605
5813034531,5813069447,AL(R),1,5813069447,VP2,5813034531,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,935,0.0010695187165775401
5813054726,5813069447,AL(R),1,5813069447,VP2,5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,935,0.0010695187165775401
5813054773,5813069447,AL(R),3,5813069447,VP2,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,935,0.0032085561497326204
5813054777,5813069447,AL(R),1,5813069447,VP2,5813054777,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,935,0.0010695187165775401
5813055277,5813069447,AL(R),3,5813069447,VP2,5813055277,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,935,0.0032085561497326204
5813069055,5813069447,AL(R),1,5813069447,VP2,5813069055,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,935,0.0010695187165775401
5813069085,5813069447,AL(R),4,5813069447,VP2,5813069085,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,935,0.0042780748663101605
5813078133,5813069447,AL(R),14,5813069447,VP2,5813078133,v2LN33_R,v2LN33,v2LN33,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,935,0.014973262032085561
5813078440,5813069447,AL(R),1,5813069447,VP2,5813078440,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,935,0.0010695187165775401
5813130064,5813069447,AL(R),3,5813069447,VP2,5813130064,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,935,0.0032085561497326204
5901218894,5813069447,AL(R),3,5813069447,VP2,5901218894,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,935,0.0032085561497326204
