bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1578826464,634759240,AL(R),1,634759240,VP4,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1122,0.00089126559714795
1639886198,634759240,AL(R),8,634759240,VP4,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1122,0.0071301247771836
1642623277,634759240,AL(R),1,634759240,VP4,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1122,0.00089126559714795
1670287030,634759240,AL(R),5,634759240,VP4,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1122,0.004456327985739751
1670627928,634759240,AL(R),1,634759240,VP4,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1122,0.00089126559714795
1670916819,634759240,AL(R),1,634759240,VP4,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,1122,0.00089126559714795
1672320134,634759240,AL(R),1,634759240,VP4,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1122,0.00089126559714795
1728315957,634759240,AL(R),11,634759240,VP4,1728315957,v2LN33_R,v2LN33,v2LN33,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,1122,0.00980392156862745
1730327790,634759240,AL(R),4,634759240,VP4,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1122,0.0035650623885918
1762354941,634759240,AL(R),18,634759240,VP4,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1122,0.016042780748663103
1762359683,634759240,AL(R),2,634759240,VP4,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1122,0.0017825311942959
1762704980,634759240,AL(R),1,634759240,VP4,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1122,0.00089126559714795
1824101645,634759240,AL(R),2,634759240,VP4,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1122,0.0017825311942959
1825789179,634759240,AL(R),1,634759240,VP4,1825789179,lLN10_R,lLN10,lLN10,lLN10-17,ALLN_regional,1122,0.00089126559714795
