bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,698508565,AL(R),22,698508565,V,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,3699,0.005947553392808867
1578826464,698508565,AL(R),30,698508565,V,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,3699,0.008110300081103
1610530558,698508565,AL(R),17,698508565,V,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,3699,0.0045958367126250335
1639886198,698508565,AL(R),5,698508565,V,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,3699,0.0013517166801838335
1640572741,698508565,AL(R),32,698508565,V,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,3699,0.008650986753176534
1640887603,698508565,AL(R),24,698508565,V,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,3699,0.006488240064882401
1640909284,698508565,AL(R),38,698508565,V,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,3699,0.010273046769397134
1640922516,698508565,AL(R),20,698508565,V,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,3699,0.005406866720735334
1640922754,698508565,AL(R),19,698508565,V,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,3699,0.005136523384698567
1642623277,698508565,AL(R),20,698508565,V,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,3699,0.005406866720735334
1670287030,698508565,AL(R),25,698508565,V,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,3699,0.006758583400919167
1670597533,698508565,AL(R),32,698508565,V,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,3699,0.008650986753176534
1670627928,698508565,AL(R),21,698508565,V,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,3699,0.0056772100567721
1671257931,698508565,AL(R),1,698508565,V,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,3699,0.0002703433360367667
1671292719,698508565,AL(R),13,698508565,V,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,3699,0.003514463368477967
1672320134,698508565,AL(R),31,698508565,V,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,3699,0.008380643417139767
1699974843,698508565,AL(R),16,698508565,V,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,3699,0.004325493376588267
1701947337,698508565,AL(R),18,698508565,V,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,3699,0.004866180048661801
1702306037,698508565,AL(R),3,698508565,V,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,3699,0.0008110300081103001
1702336197,698508565,AL(R),51,698508565,V,1702336197,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,3699,0.013787510137875101
1702651358,698508565,AL(R),15,698508565,V,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,3699,0.0040551500405515
1704347707,698508565,AL(R),16,698508565,V,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,3699,0.004325493376588267
1730327790,698508565,AL(R),35,698508565,V,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,3699,0.009462016761286834
1732995501,698508565,AL(R),16,698508565,V,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,3699,0.004325493376588267
1761345315,698508565,AL(R),11,698508565,V,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,3699,0.0029737766964044337
1762354941,698508565,AL(R),8,698508565,V,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,3699,0.0021627466882941336
1762359683,698508565,AL(R),3,698508565,V,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,3699,0.0008110300081103001
1762704980,698508565,AL(R),14,698508565,V,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,3699,0.003784806704514734
1763037543,698508565,AL(R),12,698508565,V,1763037543,vLN24,vLN24,vLN24,vLN24-25,ALLN_regional,3699,0.0032441200324412004
1793744512,698508565,AL(R),64,698508565,V,1793744512,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,3699,0.01730197350635307
1824101645,698508565,AL(R),20,698508565,V,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,3699,0.005406866720735334
1825789179,698508565,AL(R),15,698508565,V,1825789179,lLN10_R,lLN10,lLN10,lLN10-17,ALLN_regional,3699,0.0040551500405515
1826445251,698508565,AL(R),1,698508565,V,1826445251,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,3699,0.0002703433360367667
1857799548,698508565,AL(R),3,698508565,V,1857799548,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,3699,0.0008110300081103001
1883443069,698508565,AL(R),3,698508565,V,1883443069,v2LN38_R,v2LN38,v2LN38,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,3699,0.0008110300081103001
