bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,666818300,AL(R),5,666818300,V,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1705,0.002932551319648094
1578826464,666818300,AL(R),2,666818300,V,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1705,0.0011730205278592375
1610530558,666818300,AL(R),3,666818300,V,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1705,0.0017595307917888563
1639886198,666818300,AL(R),4,666818300,V,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1705,0.002346041055718475
1640572741,666818300,AL(R),1,666818300,V,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1705,0.0005865102639296188
1640887603,666818300,AL(R),3,666818300,V,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1705,0.0017595307917888563
1640909284,666818300,AL(R),6,666818300,V,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1705,0.0035190615835777126
1640922516,666818300,AL(R),1,666818300,V,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1705,0.0005865102639296188
1640922754,666818300,AL(R),4,666818300,V,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1705,0.002346041055718475
1642623277,666818300,AL(R),3,666818300,V,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1705,0.0017595307917888563
1668944259,666818300,AL(R),1,666818300,V,1668944259,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,1705,0.0005865102639296188
1670287030,666818300,AL(R),2,666818300,V,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1705,0.0011730205278592375
1670597533,666818300,AL(R),12,666818300,V,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1705,0.007038123167155425
1670627928,666818300,AL(R),1,666818300,V,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1705,0.0005865102639296188
1671292719,666818300,AL(R),1,666818300,V,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1705,0.0005865102639296188
