bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1825440160,AL(R),6,1825440160,mPN,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,4417,0.0013583880461851936
1578826464,1825440160,AL(R),2,1825440160,mPN,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,4417,0.0004527960153950645
1640572741,1825440160,AL(R),6,1825440160,mPN,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,4417,0.0013583880461851936
1640887603,1825440160,AL(R),1,1825440160,mPN,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,4417,0.00022639800769753225
1640909284,1825440160,AL(R),1,1825440160,mPN,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,4417,0.00022639800769753225
1640922516,1825440160,AL(R),4,1825440160,mPN,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,4417,0.000905592030790129
1642623277,1825440160,AL(R),9,1825440160,mPN,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,4417,0.0020375820692777906
1667251683,1825440160,AL(R),2,1825440160,mPN,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,4417,0.0004527960153950645
1670287030,1825440160,AL(R),2,1825440160,mPN,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,4417,0.0004527960153950645
1670597533,1825440160,AL(R),4,1825440160,mPN,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,4417,0.000905592030790129
1670627928,1825440160,AL(R),1,1825440160,mPN,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,4417,0.00022639800769753225
1670916819,1825440160,AL(R),16,1825440160,mPN,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,4417,0.003622368123160516
1671257931,1825440160,AL(R),3,1825440160,mPN,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,4417,0.0006791940230925968
1671270875,1825440160,AL(R),2,1825440160,mPN,1671270875,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,4417,0.0004527960153950645
1671292719,1825440160,AL(R),1,1825440160,mPN,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,4417,0.00022639800769753225
1671620613,1825440160,AL(R),141,1825440160,mPN,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,4417,0.03192211908535205
1672320134,1825440160,AL(R),2,1825440160,mPN,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,4417,0.0004527960153950645
1701947337,1825440160,AL(R),5,1825440160,mPN,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,4417,0.0011319900384876612
1702305987,1825440160,AL(R),5,1825440160,mPN,1702305987,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,ALLN_regional,4417,0.0011319900384876612
1702306037,1825440160,AL(R),2,1825440160,mPN,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,4417,0.0004527960153950645
1704347707,1825440160,AL(R),1,1825440160,mPN,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,4417,0.00022639800769753225
1728315957,1825440160,AL(R),1,1825440160,mPN,1728315957,v2LN33_R,v2LN33,v2LN33,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,4417,0.00022639800769753225
1732995501,1825440160,AL(R),1,1825440160,mPN,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,4417,0.00022639800769753225
1759674685,1825440160,AL(R),4,1825440160,mPN,1759674685,v2LN34a_R,v2LN34A,v2LN34A,v2LN34-35,ALLN_regional,4417,0.000905592030790129
1761345315,1825440160,AL(R),2,1825440160,mPN,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,4417,0.0004527960153950645
