bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1578826464,1974846717,AL(R),1,1974846717,mPN,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,218,0.0045871559633027525
1639886198,1974846717,AL(R),1,1974846717,mPN,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,218,0.0045871559633027525
1640572741,1974846717,AL(R),1,1974846717,mPN,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,218,0.0045871559633027525
1640887603,1974846717,AL(R),1,1974846717,mPN,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,218,0.0045871559633027525
1640909284,1974846717,AL(R),1,1974846717,mPN,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,218,0.0045871559633027525
1670627928,1974846717,AL(R),2,1974846717,mPN,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,218,0.009174311926605505
1672320134,1974846717,AL(R),1,1974846717,mPN,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,218,0.0045871559633027525
1762354941,1974846717,AL(R),1,1974846717,mPN,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,218,0.0045871559633027525
1883443069,1974846717,AL(R),1,1974846717,mPN,1883443069,v2LN38_R,v2LN38,v2LN38,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,218,0.0045871559633027525
1918207300,1974846717,AL(R),3,1974846717,mPN,1918207300,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,218,0.013761467889908258
1951971057,1974846717,AL(R),2,1974846717,mPN,1951971057,lLN14_R,lLN14,lLN14,lLN10-17,ALLN_sparse,218,0.009174311926605505
2008926220,1974846717,AL(R),3,1974846717,mPN,2008926220,v2LN39b_R,v2LN39B,v2LN39B,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,218,0.013761467889908258
2069989274,1974846717,AL(R),9,1974846717,mPN,2069989274,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,218,0.04128440366972477
2100666288,1974846717,AL(R),6,1974846717,mPN,2100666288,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,218,0.027522935779816515
2256863785,1974846717,AL(R),3,1974846717,mPN,2256863785,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,218,0.013761467889908258
5813024339,1974846717,AL(R),2,1974846717,mPN,5813024339,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,218,0.009174311926605505
5813034493,1974846717,AL(R),1,1974846717,mPN,5813034493,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_regional,218,0.0045871559633027525
5813054726,1974846717,AL(R),1,1974846717,mPN,5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,218,0.0045871559633027525
5813055277,1974846717,AL(R),2,1974846717,mPN,5813055277,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,218,0.009174311926605505
5901218894,1974846717,AL(R),3,1974846717,mPN,5901218894,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,218,0.013761467889908258
