bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1610530558,1886132855,AL(R),1,1886132855,mPN,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,411,0.0024330900243309003
1639886198,1886132855,AL(R),2,1886132855,mPN,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,411,0.004866180048661801
1640572741,1886132855,AL(R),1,1886132855,mPN,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,411,0.0024330900243309003
1640909284,1886132855,AL(R),6,1886132855,mPN,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,411,0.014598540145985401
1640922516,1886132855,AL(R),1,1886132855,mPN,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,411,0.0024330900243309003
1642623277,1886132855,AL(R),3,1886132855,mPN,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,411,0.0072992700729927005
1669924220,1886132855,AL(R),1,1886132855,mPN,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,411,0.0024330900243309003
1670287030,1886132855,AL(R),2,1886132855,mPN,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,411,0.004866180048661801
1670627928,1886132855,AL(R),1,1886132855,mPN,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,411,0.0024330900243309003
1671620613,1886132855,AL(R),1,1886132855,mPN,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,411,0.0024330900243309003
1672320134,1886132855,AL(R),1,1886132855,mPN,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,411,0.0024330900243309003
1699974843,1886132855,AL(R),1,1886132855,mPN,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,411,0.0024330900243309003
1704347707,1886132855,AL(R),3,1886132855,mPN,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,411,0.0072992700729927005
1730327790,1886132855,AL(R),3,1886132855,mPN,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,411,0.0072992700729927005
1730979793,1886132855,AL(R),2,1886132855,mPN,1730979793,v2LN31_R,v2LN31,v2LN31,v2LN31,ALLN_sparse,411,0.004866180048661801
1732995501,1886132855,AL(R),1,1886132855,mPN,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,411,0.0024330900243309003
1762354941,1886132855,AL(R),2,1886132855,mPN,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,411,0.004866180048661801
1762704980,1886132855,AL(R),3,1886132855,mPN,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,411,0.0072992700729927005
1824745150,1886132855,AL(R),10,1886132855,mPN,1824745150,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,411,0.024330900243309004
1858171556,1886132855,AL(R),1,1886132855,mPN,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,411,0.0024330900243309003
1887867926,1886132855,AL(R),1,1886132855,mPN,1887867926,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,411,0.0024330900243309003
1920590638,1886132855,AL(R),2,1886132855,mPN,1920590638,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,411,0.004866180048661801
1977881942,1886132855,AL(R),5,1886132855,mPN,1977881942,v2LN42_R,v2LN42,v2LN42,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,411,0.012165450121654502
2100666288,1886132855,AL(R),2,1886132855,mPN,2100666288,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,411,0.004866180048661801
5812996027,1886132855,AL(R),4,1886132855,mPN,5812996027,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,411,0.009732360097323601
5813002313,1886132855,AL(R),2,1886132855,mPN,5813002313,v2LN48_R,v2LN48,v2LN48,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,411,0.004866180048661801
5813018460,1886132855,AL(R),2,1886132855,mPN,5813018460,il3LN6_R,il3LN6,il3LN6,il3LN6,ALLN_broad,411,0.004866180048661801
5813024339,1886132855,AL(R),1,1886132855,mPN,5813024339,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,411,0.0024330900243309003
5813024698,1886132855,AL(R),5,1886132855,mPN,5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,411,0.012165450121654502
5813032595,1886132855,AL(R),2,1886132855,mPN,5813032595,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,411,0.004866180048661801
5813034455,1886132855,AL(R),1,1886132855,mPN,5813034455,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,411,0.0024330900243309003
5813034493,1886132855,AL(R),2,1886132855,mPN,5813034493,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_regional,411,0.004866180048661801
5813034531,1886132855,AL(R),3,1886132855,mPN,5813034531,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,411,0.0072992700729927005
5813039309,1886132855,AL(R),3,1886132855,mPN,5813039309,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,411,0.0072992700729927005
5813054726,1886132855,AL(R),1,1886132855,mPN,5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,411,0.0024330900243309003
5813054773,1886132855,AL(R),2,1886132855,mPN,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,411,0.004866180048661801
5813062199,1886132855,AL(R),2,1886132855,mPN,5813062199,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,411,0.004866180048661801
5813078440,1886132855,AL(R),3,1886132855,mPN,5813078440,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,411,0.0072992700729927005
5901206553,1886132855,AL(R),1,1886132855,mPN,5901206553,il3LN6_L,il3LN6,il3LN6,il3LN6,ALLN_broad,411,0.0024330900243309003
5901218894,1886132855,AL(R),6,1886132855,mPN,5901218894,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,411,0.014598540145985401
