bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1661769627,AL(R),6,1661769627,mPN,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1705,0.0035190615835777126
1578826464,1661769627,AL(R),3,1661769627,mPN,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1705,0.0017595307917888563
1610530558,1661769627,AL(R),2,1661769627,mPN,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1705,0.0011730205278592375
1640572741,1661769627,AL(R),20,1661769627,mPN,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1705,0.011730205278592375
1640887603,1661769627,AL(R),1,1661769627,mPN,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1705,0.0005865102639296188
1640909284,1661769627,AL(R),3,1661769627,mPN,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1705,0.0017595307917888563
1640922516,1661769627,AL(R),1,1661769627,mPN,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1705,0.0005865102639296188
1640922754,1661769627,AL(R),4,1661769627,mPN,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1705,0.002346041055718475
1642623277,1661769627,AL(R),6,1661769627,mPN,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1705,0.0035190615835777126
1667251683,1661769627,AL(R),1,1661769627,mPN,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1705,0.0005865102639296188
1670287030,1661769627,AL(R),2,1661769627,mPN,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1705,0.0011730205278592375
