bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1671638278,AL(R),4,1671638278,mPN,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,5124,0.00078064012490242
1578826464,1671638278,AL(R),1,1671638278,mPN,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,5124,0.000195160031225605
1639886198,1671638278,AL(R),3,1671638278,mPN,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,5124,0.000585480093676815
1640555311,1671638278,AL(R),1,1671638278,mPN,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,5124,0.000195160031225605
1640572741,1671638278,AL(R),5,1671638278,mPN,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,5124,0.000975800156128025
1640887603,1671638278,AL(R),1,1671638278,mPN,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,5124,0.000195160031225605
1640909284,1671638278,AL(R),11,1671638278,mPN,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,5124,0.002146760343481655
1640922516,1671638278,AL(R),3,1671638278,mPN,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,5124,0.000585480093676815
1640922754,1671638278,AL(R),3,1671638278,mPN,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,5124,0.000585480093676815
1667251683,1671638278,AL(R),7,1671638278,mPN,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,5124,0.001366120218579235
1668944259,1671638278,AL(R),1,1671638278,mPN,1668944259,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,5124,0.000195160031225605
1669924220,1671638278,AL(R),6,1671638278,mPN,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,5124,0.00117096018735363
1670278227,1671638278,AL(R),12,1671638278,mPN,1670278227,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,5124,0.00234192037470726
1670287030,1671638278,AL(R),6,1671638278,mPN,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,5124,0.00117096018735363
1670597533,1671638278,AL(R),4,1671638278,mPN,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,5124,0.00078064012490242
1670627928,1671638278,AL(R),3,1671638278,mPN,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,5124,0.000585480093676815
1670636531,1671638278,AL(R),1,1671638278,mPN,1670636531,v2LN34e_R,v2LN34E,v2LN34E,v2LN34-35,ALLN_sparse,5124,0.000195160031225605
1670916819,1671638278,AL(R),1,1671638278,mPN,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,5124,0.000195160031225605
1671257931,1671638278,AL(R),2,1671638278,mPN,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,5124,0.00039032006245121
