bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1794055377,AL(R),1,1794055377,mPN,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1667,0.0005998800239952009
1578826464,1794055377,AL(R),3,1794055377,mPN,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1667,0.001799640071985603
1639886198,1794055377,AL(R),5,1794055377,mPN,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1667,0.002999400119976005
1640555311,1794055377,AL(R),7,1794055377,mPN,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1667,0.004199160167966407
1640572741,1794055377,AL(R),1,1794055377,mPN,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1667,0.0005998800239952009
1640909284,1794055377,AL(R),12,1794055377,mPN,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1667,0.007198560287942412
1640922516,1794055377,AL(R),2,1794055377,mPN,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1667,0.0011997600479904018
1640922754,1794055377,AL(R),2,1794055377,mPN,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1667,0.0011997600479904018
1642623277,1794055377,AL(R),2,1794055377,mPN,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1667,0.0011997600479904018
1667251683,1794055377,AL(R),4,1794055377,mPN,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1667,0.0023995200959808036
1670278227,1794055377,AL(R),2,1794055377,mPN,1670278227,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,1667,0.0011997600479904018
1670287030,1794055377,AL(R),6,1794055377,mPN,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1667,0.003599280143971206
1670597533,1794055377,AL(R),3,1794055377,mPN,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1667,0.001799640071985603
1670627928,1794055377,AL(R),3,1794055377,mPN,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1667,0.001799640071985603
1671257931,1794055377,AL(R),3,1794055377,mPN,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1667,0.001799640071985603
1671270875,1794055377,AL(R),3,1794055377,mPN,1671270875,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,1667,0.001799640071985603
1671292719,1794055377,AL(R),1,1794055377,mPN,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1667,0.0005998800239952009
1671620613,1794055377,AL(R),8,1794055377,mPN,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,1667,0.004799040191961607
1672320134,1794055377,AL(R),1,1794055377,mPN,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1667,0.0005998800239952009
1699974843,1794055377,AL(R),1,1794055377,mPN,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1667,0.0005998800239952009
1701947337,1794055377,AL(R),5,1794055377,mPN,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1667,0.002999400119976005
1701965055,1794055377,AL(R),3,1794055377,mPN,1701965055,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,1667,0.001799640071985603
1702305987,1794055377,AL(R),12,1794055377,mPN,1702305987,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,ALLN_regional,1667,0.007198560287942412
1702306037,1794055377,AL(R),5,1794055377,mPN,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1667,0.002999400119976005
1702318692,1794055377,AL(R),1,1794055377,mPN,1702318692,lLN16a_R,lLN16A,lLN16A,lLN10-17,ALLN_sparse,1667,0.0005998800239952009
1702336197,1794055377,AL(R),1,1794055377,mPN,1702336197,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,1667,0.0005998800239952009
1702651358,1794055377,AL(R),1,1794055377,mPN,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1667,0.0005998800239952009
1704347707,1794055377,AL(R),1,1794055377,mPN,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1667,0.0005998800239952009
1728294045,1794055377,AL(R),2,1794055377,mPN,1728294045,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,1667,0.0011997600479904018
1728294318,1794055377,AL(R),13,1794055377,mPN,1728294318,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,1667,0.007798440311937612
1728315957,1794055377,AL(R),4,1794055377,mPN,1728315957,v2LN33_R,v2LN33,v2LN33,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,1667,0.0023995200959808036
1730327790,1794055377,AL(R),4,1794055377,mPN,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1667,0.0023995200959808036
1730979793,1794055377,AL(R),15,1794055377,mPN,1730979793,v2LN31_R,v2LN31,v2LN31,v2LN31,ALLN_sparse,1667,0.008998200359928014
1732667174,1794055377,AL(R),3,1794055377,mPN,1732667174,lLN16a_R,lLN16A,lLN16A,lLN10-17,ALLN_sparse,1667,0.001799640071985603
1732995501,1794055377,AL(R),4,1794055377,mPN,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1667,0.0023995200959808036
1758323593,1794055377,AL(R),7,1794055377,mPN,1758323593,v2LN42_R,v2LN42,v2LN42,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,1667,0.004199160167966407
1762359683,1794055377,AL(R),3,1794055377,mPN,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1667,0.001799640071985603
1762704980,1794055377,AL(R),3,1794055377,mPN,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1667,0.001799640071985603
1763037543,1794055377,AL(R),1,1794055377,mPN,1763037543,vLN24,vLN24,vLN24,vLN24-25,ALLN_regional,1667,0.0005998800239952009
1763360713,1794055377,AL(R),1,1794055377,mPN,1763360713,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,1667,0.0005998800239952009
1764388538,1794055377,AL(R),2,1794055377,mPN,1764388538,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,1667,0.0011997600479904018
1793744512,1794055377,AL(R),2,1794055377,mPN,1793744512,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,1667,0.0011997600479904018
1794037618,1794055377,AL(R),23,1794055377,mPN,1794037618,vLN25,vLN25,vLN25,vLN24-25,ALLN_regional,1667,0.013797240551889621
1794080892,1794055377,AL(R),1,1794055377,mPN,1794080892,v2LN34e_R,v2LN34E,v2LN34E,v2LN34-35,ALLN_sparse,1667,0.0005998800239952009
1824745150,1794055377,AL(R),29,1794055377,mPN,1824745150,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,1667,0.01739652069586083
1825789179,1794055377,AL(R),3,1794055377,mPN,1825789179,lLN10_R,lLN10,lLN10,lLN10-17,ALLN_regional,1667,0.001799640071985603
1826458709,1794055377,AL(R),1,1794055377,mPN,1826458709,v2LN34d_R,v2LN34D,v2LN34D,v2LN34-35,ALLN_sparse,1667,0.0005998800239952009
1852754119,1794055377,AL(R),12,1794055377,mPN,1852754119,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,1667,0.007198560287942412
1854419820,1794055377,AL(R),1,1794055377,mPN,1854419820,v2LN34e_R,v2LN34E,v2LN34E,v2LN34-35,ALLN_sparse,1667,0.0005998800239952009
1856129403,1794055377,AL(R),1,1794055377,mPN,1856129403,v2LN34e_R,v2LN34E,v2LN34E,v2LN34-35,ALLN_sparse,1667,0.0005998800239952009
1856466057,1794055377,AL(R),1,1794055377,mPN,1856466057,v2LN34b_R,v2LN34B,v2LN34B,v2LN34-35,ALLN_sparse,1667,0.0005998800239952009
1857485083,1794055377,AL(R),2,1794055377,mPN,1857485083,lLN9_R,lLN9,lLN9,lLN7-9,ALLN_sparse,1667,0.0011997600479904018
1857485213,1794055377,AL(R),1,1794055377,mPN,1857485213,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,1667,0.0005998800239952009
1857799548,1794055377,AL(R),1,1794055377,mPN,1857799548,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,1667,0.0005998800239952009
1857830017,1794055377,AL(R),2,1794055377,mPN,1857830017,v2LN34a_R,v2LN34A,v2LN34A,v2LN34-35,ALLN_regional,1667,0.0011997600479904018
1858171556,1794055377,AL(R),1,1794055377,mPN,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1667,0.0005998800239952009
1883102183,1794055377,AL(R),2,1794055377,mPN,1883102183,v2LN5_R,v2LN5,v2LN5,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,1667,0.0011997600479904018
1885109710,1794055377,AL(R),4,1794055377,mPN,1885109710,v2LN46_R,v2LN46,v2LN46,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,1667,0.0023995200959808036
1885782720,1794055377,AL(R),3,1794055377,mPN,1885782720,v2LN46_R,v2LN46,v2LN46,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,1667,0.001799640071985603
1887160257,1794055377,AL(R),6,1794055377,mPN,1887160257,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,1667,0.003599280143971206
1887837668,1794055377,AL(R),6,1794055377,mPN,1887837668,v2LN40_R,v2LN40,v2LN40,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,1667,0.003599280143971206
1887867926,1794055377,AL(R),7,1794055377,mPN,1887867926,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,1667,0.004199160167966407
1888199872,1794055377,AL(R),4,1794055377,mPN,1888199872,v2LN3b_R,v2LN3B,v2LN3B,v2LN3,ALLN_regional,1667,0.0023995200959808036
