bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1610530558,850703925,AL(R),2,850703925,mPN,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,234,0.008547008547008548
1640555311,850703925,AL(R),1,850703925,mPN,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,234,0.004273504273504274
1640572741,850703925,AL(R),3,850703925,mPN,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,234,0.01282051282051282
1640909284,850703925,AL(R),1,850703925,mPN,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,234,0.004273504273504274
1670597533,850703925,AL(R),3,850703925,mPN,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,234,0.01282051282051282
1670627928,850703925,AL(R),1,850703925,mPN,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,234,0.004273504273504274
1670916819,850703925,AL(R),1,850703925,mPN,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,234,0.004273504273504274
1671292719,850703925,AL(R),2,850703925,mPN,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,234,0.008547008547008548
1699974843,850703925,AL(R),1,850703925,mPN,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,234,0.004273504273504274
1704347707,850703925,AL(R),1,850703925,mPN,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,234,0.004273504273504274
1761345315,850703925,AL(R),30,850703925,mPN,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,234,0.1282051282051282
1762359683,850703925,AL(R),1,850703925,mPN,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,234,0.004273504273504274
1763037543,850703925,AL(R),5,850703925,mPN,1763037543,vLN24,vLN24,vLN24,vLN24-25,ALLN_regional,234,0.021367521367521368
1793744512,850703925,AL(R),1,850703925,mPN,1793744512,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,234,0.004273504273504274
1820721562,850703925,AL(R),2,850703925,mPN,1820721562,v2LN32_R,v2LN32,v2LN32,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,234,0.008547008547008548
1824101645,850703925,AL(R),1,850703925,mPN,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,234,0.004273504273504274
1824745150,850703925,AL(R),1,850703925,mPN,1824745150,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,234,0.004273504273504274
1825789179,850703925,AL(R),4,850703925,mPN,1825789179,lLN10_R,lLN10,lLN10,lLN10-17,ALLN_regional,234,0.017094017094017096
1885109710,850703925,AL(R),1,850703925,mPN,1885109710,v2LN46_R,v2LN46,v2LN46,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,234,0.004273504273504274
1888860489,850703925,AL(R),1,850703925,mPN,1888860489,v2LN34b_R,v2LN34B,v2LN34B,v2LN34-35,ALLN_regional,234,0.004273504273504274
1915837804,850703925,AL(R),3,850703925,mPN,1915837804,v2LN34c_R,v2LN34C,v2LN34C,v2LN34-35,ALLN_sparse,234,0.01282051282051282
2007578488,850703925,AL(R),1,850703925,mPN,2007578488,l2LN20_R,l2LN20,l2LN20,l2LN20,ALLN_sparse,234,0.004273504273504274
2007578510,850703925,AL(R),1,850703925,mPN,2007578510,l2LN20_R,l2LN20,l2LN20,l2LN20,ALLN_sparse,234,0.004273504273504274
2069647778,850703925,AL(R),1,850703925,mPN,2069647778,l2LN23_R,l2LN23,l2LN23,l2LN21-23,ALLN_sparse,234,0.004273504273504274
2101015643,850703925,AL(R),3,850703925,mPN,2101015643,v2LN41_R,v2LN41,v2LN41,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,234,0.01282051282051282
2105086391,850703925,AL(R),4,850703925,mPN,2105086391,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,234,0.017094017094017096
5813018847,850703925,AL(R),4,850703925,mPN,5813018847,vLN27_R,vLN27,vLN27,vLN27-29,ALLN_sparse,234,0.017094017094017096
5813024339,850703925,AL(R),2,850703925,mPN,5813024339,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,234,0.008547008547008548
5813024698,850703925,AL(R),1,850703925,mPN,5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,234,0.004273504273504274
5813032595,850703925,AL(R),1,850703925,mPN,5813032595,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,234,0.004273504273504274
5813034493,850703925,AL(R),1,850703925,mPN,5813034493,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_regional,234,0.004273504273504274
5813054622,850703925,AL(R),1,850703925,mPN,5813054622,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,234,0.004273504273504274
5813054725,850703925,AL(R),1,850703925,mPN,5813054725,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,234,0.004273504273504274
5813054773,850703925,AL(R),1,850703925,mPN,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,234,0.004273504273504274
5813069085,850703925,AL(R),1,850703925,mPN,5813069085,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,234,0.004273504273504274
5813075196,850703925,AL(R),1,850703925,mPN,5813075196,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,234,0.004273504273504274
5813078440,850703925,AL(R),2,850703925,mPN,5813078440,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,234,0.008547008547008548
5813130064,850703925,AL(R),1,850703925,mPN,5813130064,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,234,0.004273504273504274
5813132949,850703925,AL(R),1,850703925,mPN,5813132949,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,234,0.004273504273504274
