bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1825085656,AL(R),10,1825085656,mPN,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1215,0.00823045267489712
1578826464,1825085656,AL(R),12,1825085656,mPN,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1215,0.009876543209876543
1610530558,1825085656,AL(R),13,1825085656,mPN,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1215,0.010699588477366255
1639886198,1825085656,AL(R),4,1825085656,mPN,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1215,0.0032921810699588477
1640555311,1825085656,AL(R),11,1825085656,mPN,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1215,0.00905349794238683
1640572741,1825085656,AL(R),1,1825085656,mPN,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1215,0.0008230452674897119
1640887603,1825085656,AL(R),8,1825085656,mPN,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1215,0.006584362139917695
1640909284,1825085656,AL(R),20,1825085656,mPN,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1215,0.01646090534979424
1640922516,1825085656,AL(R),4,1825085656,mPN,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1215,0.0032921810699588477
1640922754,1825085656,AL(R),11,1825085656,mPN,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1215,0.00905349794238683
1642623277,1825085656,AL(R),14,1825085656,mPN,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1215,0.011522633744855968
1667251683,1825085656,AL(R),18,1825085656,mPN,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1215,0.014814814814814815
1670287030,1825085656,AL(R),16,1825085656,mPN,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1215,0.01316872427983539
1670597533,1825085656,AL(R),8,1825085656,mPN,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,1215,0.006584362139917695
1670627928,1825085656,AL(R),13,1825085656,mPN,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1215,0.010699588477366255
1671257931,1825085656,AL(R),1,1825085656,mPN,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1215,0.0008230452674897119
1672320134,1825085656,AL(R),12,1825085656,mPN,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1215,0.009876543209876543
1699974843,1825085656,AL(R),11,1825085656,mPN,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1215,0.00905349794238683
1701947337,1825085656,AL(R),5,1825085656,mPN,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1215,0.00411522633744856
1702306037,1825085656,AL(R),10,1825085656,mPN,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1215,0.00823045267489712
1702651358,1825085656,AL(R),8,1825085656,mPN,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1215,0.006584362139917695
1704347707,1825085656,AL(R),1,1825085656,mPN,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1215,0.0008230452674897119
1730327790,1825085656,AL(R),8,1825085656,mPN,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1215,0.006584362139917695
1732995501,1825085656,AL(R),8,1825085656,mPN,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1215,0.006584362139917695
1759674685,1825085656,AL(R),1,1825085656,mPN,1759674685,v2LN34a_R,v2LN34A,v2LN34A,v2LN34-35,ALLN_regional,1215,0.0008230452674897119
1762354941,1825085656,AL(R),12,1825085656,mPN,1762354941,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1215,0.009876543209876543
1762359683,1825085656,AL(R),14,1825085656,mPN,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1215,0.011522633744855968
1762704980,1825085656,AL(R),4,1825085656,mPN,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1215,0.0032921810699588477
1763037543,1825085656,AL(R),1,1825085656,mPN,1763037543,vLN24,vLN24,vLN24,vLN24-25,ALLN_regional,1215,0.0008230452674897119
1793744512,1825085656,AL(R),1,1825085656,mPN,1793744512,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,1215,0.0008230452674897119
1794080892,1825085656,AL(R),1,1825085656,mPN,1794080892,v2LN34e_R,v2LN34E,v2LN34E,v2LN34-35,ALLN_sparse,1215,0.0008230452674897119
1824101645,1825085656,AL(R),22,1825085656,mPN,1824101645,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1215,0.01810699588477366
1825789179,1825085656,AL(R),5,1825085656,mPN,1825789179,lLN10_R,lLN10,lLN10,lLN10-17,ALLN_regional,1215,0.00411522633744856
1858171556,1825085656,AL(R),17,1825085656,mPN,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1215,0.013991769547325103
1885765762,1825085656,AL(R),1,1825085656,mPN,1885765762,lLN8_R,lLN8,lLN8,lLN7-9,ALLN_sparse,1215,0.0008230452674897119
1887867926,1825085656,AL(R),2,1825085656,mPN,1887867926,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,1215,0.0016460905349794238
1916485259,1825085656,AL(R),2,1825085656,mPN,1916485259,v2LN37_R,v2LN37,v2LN37,v2LN30/v2LN37,ALLN_regional,1215,0.0016460905349794238
1916800213,1825085656,AL(R),1,1825085656,mPN,1916800213,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1215,0.0008230452674897119
1919208947,1825085656,AL(R),1,1825085656,mPN,1919208947,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,1215,0.0008230452674897119
1946178096,1825085656,AL(R),3,1825085656,mPN,1946178096,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1215,0.0024691358024691358
1946851619,1825085656,AL(R),2,1825085656,mPN,1946851619,v2LN45_R,v2LN45,v2LN45,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,1215,0.0016460905349794238
2040301572,1825085656,AL(R),1,1825085656,mPN,2040301572,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,1215,0.0008230452674897119
2105086391,1825085656,AL(R),11,1825085656,mPN,2105086391,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1215,0.00905349794238683
2135408892,1825085656,AL(R),2,1825085656,mPN,2135408892,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,1215,0.0016460905349794238
5812996027,1825085656,AL(R),1,1825085656,mPN,5812996027,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,1215,0.0008230452674897119
5813018847,1825085656,AL(R),4,1825085656,mPN,5813018847,vLN27_R,vLN27,vLN27,vLN27-29,ALLN_sparse,1215,0.0032921810699588477
5813024339,1825085656,AL(R),4,1825085656,mPN,5813024339,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,1215,0.0032921810699588477
5813024698,1825085656,AL(R),8,1825085656,mPN,5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1215,0.006584362139917695
5813032595,1825085656,AL(R),15,1825085656,mPN,5813032595,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1215,0.012345679012345678
5813034493,1825085656,AL(R),9,1825085656,mPN,5813034493,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_regional,1215,0.007407407407407408
5813034531,1825085656,AL(R),17,1825085656,mPN,5813034531,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,1215,0.013991769547325103
5813047691,1825085656,AL(R),12,1825085656,mPN,5813047691,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1215,0.009876543209876543
5813054622,1825085656,AL(R),13,1825085656,mPN,5813054622,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1215,0.010699588477366255
5813054716,1825085656,AL(R),1,1825085656,mPN,5813054716,v2LN36_R,v2LN36,v2LN36,v2LN36,ALLN_sparse,1215,0.0008230452674897119
5813054725,1825085656,AL(R),8,1825085656,mPN,5813054725,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1215,0.006584362139917695
5813054726,1825085656,AL(R),11,1825085656,mPN,5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1215,0.00905349794238683
5813054773,1825085656,AL(R),7,1825085656,mPN,5813054773,l2LN18_R,l2LN18,l2LN18,l2LN18,ALLN_broad,1215,0.005761316872427984
5813054777,1825085656,AL(R),11,1825085656,mPN,5813054777,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1215,0.00905349794238683
