bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,5812983069,AL(R),1,5812983069,mPN,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,379,0.002638522427440633
1578826464,5812983069,AL(R),2,5812983069,mPN,1578826464,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,379,0.005277044854881266
1610530558,5812983069,AL(R),4,5812983069,mPN,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,379,0.010554089709762533
1640887603,5812983069,AL(R),2,5812983069,mPN,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,379,0.005277044854881266
1640922516,5812983069,AL(R),1,5812983069,mPN,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,379,0.002638522427440633
1669924220,5812983069,AL(R),1,5812983069,mPN,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,379,0.002638522427440633
1670278227,5812983069,AL(R),2,5812983069,mPN,1670278227,lLN11_R,lLN11,lLN11,lLN10-17,ALLN_regional,379,0.005277044854881266
1670287030,5812983069,AL(R),2,5812983069,mPN,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,379,0.005277044854881266
1670597533,5812983069,AL(R),1,5812983069,mPN,1670597533,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,379,0.002638522427440633
1670627928,5812983069,AL(R),2,5812983069,mPN,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,379,0.005277044854881266
1670916819,5812983069,AL(R),6,5812983069,mPN,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,379,0.0158311345646438
1671257931,5812983069,AL(R),4,5812983069,mPN,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,379,0.010554089709762533
1671270875,5812983069,AL(R),1,5812983069,mPN,1671270875,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,379,0.002638522427440633
1671292719,5812983069,AL(R),1,5812983069,mPN,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,379,0.002638522427440633
1671620613,5812983069,AL(R),10,5812983069,mPN,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,379,0.026385224274406333
1701947337,5812983069,AL(R),1,5812983069,mPN,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,379,0.002638522427440633
1702306037,5812983069,AL(R),1,5812983069,mPN,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,379,0.002638522427440633
1702651358,5812983069,AL(R),1,5812983069,mPN,1702651358,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,379,0.002638522427440633
1704347707,5812983069,AL(R),1,5812983069,mPN,1704347707,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,379,0.002638522427440633
1730327790,5812983069,AL(R),3,5812983069,mPN,1730327790,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,379,0.0079155672823219
1732995501,5812983069,AL(R),1,5812983069,mPN,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,379,0.002638522427440633
1761345315,5812983069,AL(R),7,5812983069,mPN,1761345315,vLN24_R,vLN24,vLN24,vLN24-25,ALLN_regional,379,0.018469656992084433
