bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1547454812,1102334088,AL(R),2,1102334088,mPN,1547454812,lLN1_c_R,lLN1_c,lLN1,lLN1,ALLN_broad,1449,0.0013802622498274672
1610530558,1102334088,AL(R),3,1102334088,mPN,1610530558,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1449,0.002070393374741201
1639886198,1102334088,AL(R),1,1102334088,mPN,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,1449,0.0006901311249137336
1640572741,1102334088,AL(R),1,1102334088,mPN,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,1449,0.0006901311249137336
1640887603,1102334088,AL(R),2,1102334088,mPN,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1449,0.0013802622498274672
1640909284,1102334088,AL(R),1,1102334088,mPN,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,1449,0.0006901311249137336
1640922516,1102334088,AL(R),4,1102334088,mPN,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1449,0.0027605244996549345
1640922754,1102334088,AL(R),4,1102334088,mPN,1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1449,0.0027605244996549345
1642623277,1102334088,AL(R),4,1102334088,mPN,1642623277,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,1449,0.0027605244996549345
1667251683,1102334088,AL(R),3,1102334088,mPN,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1449,0.002070393374741201
1668275074,1102334088,AL(R),9,1102334088,mPN,1668275074,v2LN34f_R,v2LN34F,v2LN34F,v2LN34-35,ALLN_regional,1449,0.006211180124223602
1668944259,1102334088,AL(R),2,1102334088,mPN,1668944259,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,1449,0.0013802622498274672
1669924220,1102334088,AL(R),2,1102334088,mPN,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,1449,0.0013802622498274672
1670287030,1102334088,AL(R),3,1102334088,mPN,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,1449,0.002070393374741201
1670627928,1102334088,AL(R),1,1102334088,mPN,1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1449,0.0006901311249137336
1670916819,1102334088,AL(R),1,1102334088,mPN,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,1449,0.0006901311249137336
1671257931,1102334088,AL(R),1,1102334088,mPN,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,1449,0.0006901311249137336
1671270875,1102334088,AL(R),1,1102334088,mPN,1671270875,lLN12b_R,lLN12B,lLN12B,lLN10-17,ALLN_sparse,1449,0.0006901311249137336
1671292719,1102334088,AL(R),1,1102334088,mPN,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,1449,0.0006901311249137336
1671620613,1102334088,AL(R),1,1102334088,mPN,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,1449,0.0006901311249137336
1672320134,1102334088,AL(R),12,1102334088,mPN,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,1449,0.008281573498964804
1699974843,1102334088,AL(R),2,1102334088,mPN,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,1449,0.0013802622498274672
1700644008,1102334088,AL(R),1,1102334088,mPN,1700644008,v2LN3a_R,v2LN3A,v2LN3A,v2LN3,ALLN_regional,1449,0.0006901311249137336
1701965055,1102334088,AL(R),7,1102334088,mPN,1701965055,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,1449,0.004830917874396135
1702305987,1102334088,AL(R),1,1102334088,mPN,1702305987,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,ALLN_regional,1449,0.0006901311249137336
1702306037,1102334088,AL(R),3,1102334088,mPN,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,1449,0.002070393374741201
1702318692,1102334088,AL(R),1,1102334088,mPN,1702318692,lLN16a_R,lLN16A,lLN16A,lLN10-17,ALLN_sparse,1449,0.0006901311249137336
1702323388,1102334088,AL(R),1,1102334088,mPN,1702323388,lLN14_R,lLN14,lLN14,lLN10-17,ALLN_sparse,1449,0.0006901311249137336
