bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1640555311,1912435859,AL(R),1,1912435859,mPN,1640555311,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,119,0.008403361344537815
1640887603,1912435859,AL(R),1,1912435859,mPN,1640887603,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,119,0.008403361344537815
1640909284,1912435859,AL(R),1,1912435859,mPN,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,119,0.008403361344537815
1702306037,1912435859,AL(R),2,1912435859,mPN,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,119,0.01680672268907563
1702336197,1912435859,AL(R),2,1912435859,mPN,1702336197,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,119,0.01680672268907563
1764388538,1912435859,AL(R),1,1912435859,mPN,1764388538,v2LN35_R,v2LN35,v2LN35,v2LN34-35,ALLN_regional,119,0.008403361344537815
1820721562,1912435859,AL(R),1,1912435859,mPN,1820721562,v2LN32_R,v2LN32,v2LN32,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,119,0.008403361344537815
1826445251,1912435859,AL(R),1,1912435859,mPN,1826445251,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,119,0.008403361344537815
1826458709,1912435859,AL(R),2,1912435859,mPN,1826458709,v2LN34d_R,v2LN34D,v2LN34D,v2LN34-35,ALLN_sparse,119,0.01680672268907563
1826825128,1912435859,AL(R),1,1912435859,mPN,1826825128,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,119,0.008403361344537815
1857485213,1912435859,AL(R),6,1912435859,mPN,1857485213,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,119,0.05042016806722689
1887518225,1912435859,AL(R),1,1912435859,mPN,1887518225,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,119,0.008403361344537815
1887867926,1912435859,AL(R),2,1912435859,mPN,1887867926,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,119,0.01680672268907563
1915155414,1912435859,AL(R),2,1912435859,mPN,1915155414,v2LN39b_R,v2LN39B,v2LN39B,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,119,0.01680672268907563
1976565858,1912435859,AL(R),4,1912435859,mPN,1976565858,l2LN21_R,l2LN21,l2LN21,l2LN21-23,ALLN_sparse,119,0.03361344537815126
2007578488,1912435859,AL(R),1,1912435859,mPN,2007578488,l2LN20_R,l2LN20,l2LN20,l2LN20,ALLN_sparse,119,0.008403361344537815
2101015643,1912435859,AL(R),1,1912435859,mPN,2101015643,v2LN41_R,v2LN41,v2LN41,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,119,0.008403361344537815
2101339904,1912435859,AL(R),1,1912435859,mPN,2101339904,l2LN22_R,l2LN22,l2LN22,l2LN21-23,ALLN_sparse,119,0.008403361344537815
2256863785,1912435859,AL(R),1,1912435859,mPN,2256863785,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,119,0.008403361344537815
5813018460,1912435859,AL(R),1,1912435859,mPN,5813018460,il3LN6_R,il3LN6,il3LN6,il3LN6,ALLN_broad,119,0.008403361344537815
5813034493,1912435859,AL(R),7,1912435859,mPN,5813034493,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_regional,119,0.058823529411764705
5813054726,1912435859,AL(R),1,1912435859,mPN,5813054726,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,119,0.008403361344537815
5813075196,1912435859,AL(R),1,1912435859,mPN,5813075196,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,119,0.008403361344537815
5813076969,1912435859,AL(R),2,1912435859,mPN,5813076969,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,ALLN_regional,119,0.01680672268907563
5813078440,1912435859,AL(R),1,1912435859,mPN,5813078440,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,119,0.008403361344537815
5901194966,1912435859,AL(R),10,1912435859,mPN,5901194966,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,119,0.08403361344537816
5901197989,1912435859,AL(R),1,1912435859,mPN,5901197989,lLN9_R,lLN9,lLN9,lLN7-9,ALLN_sparse,119,0.008403361344537815
