bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1639886198,541632990,AL(R),2,541632990,mPN,1639886198,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,127,0.015748031496062992
1640572741,541632990,AL(R),1,541632990,mPN,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,127,0.007874015748031496
1667251683,541632990,AL(R),1,541632990,mPN,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,127,0.007874015748031496
1670916819,541632990,AL(R),2,541632990,mPN,1670916819,lLN2P_a(Patchy)_R,lLN2P_a,lLN2P,lLN2P,ALLN_patchy,127,0.015748031496062992
1671257931,541632990,AL(R),1,541632990,mPN,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,127,0.007874015748031496
1671620613,541632990,AL(R),1,541632990,mPN,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,127,0.007874015748031496
1672320134,541632990,AL(R),1,541632990,mPN,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,127,0.007874015748031496
1702305987,541632990,AL(R),1,541632990,mPN,1702305987,lLN2R_b(Regional)_R,lLN2R_b,lLN2R,lLN2R,ALLN_regional,127,0.007874015748031496
1702306037,541632990,AL(R),2,541632990,mPN,1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,127,0.015748031496062992
1762704980,541632990,AL(R),1,541632990,mPN,1762704980,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,127,0.007874015748031496
1763360713,541632990,AL(R),1,541632990,mPN,1763360713,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,127,0.007874015748031496
1857485213,541632990,AL(R),3,541632990,mPN,1857485213,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,127,0.023622047244094488
1858171556,541632990,AL(R),1,541632990,mPN,1858171556,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,127,0.007874015748031496
1887177026,541632990,AL(R),1,541632990,mPN,1887177026,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,127,0.007874015748031496
1918207300,541632990,AL(R),1,541632990,mPN,1918207300,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,127,0.007874015748031496
2101015643,541632990,AL(R),1,541632990,mPN,2101015643,v2LN41_R,v2LN41,v2LN41,v2LN5/v2LN40-41/v2LN46-48,ALLN_sparse,127,0.007874015748031496
5813032595,541632990,AL(R),1,541632990,mPN,5813032595,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,127,0.007874015748031496
5813054777,541632990,AL(R),1,541632990,mPN,5813054777,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,127,0.007874015748031496
5813069085,541632990,AL(R),2,541632990,mPN,5813069085,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,127,0.015748031496062992
5813078440,541632990,AL(R),1,541632990,mPN,5813078440,lLN1_b_R,lLN1_b,lLN1,lLN1,ALLN_broad,127,0.007874015748031496
5813130064,541632990,AL(R),1,541632990,mPN,5813130064,lLN1_a_R,lLN1_a,lLN1,lLN1,ALLN_broad,127,0.007874015748031496
5813132949,541632990,AL(R),1,541632990,mPN,5813132949,lLN2P_c(Patchy)_R,lLN2P_c,lLN2P,lLN2P,ALLN_patchy,127,0.007874015748031496
5901194966,541632990,AL(R),3,541632990,mPN,5901194966,lLN13_R,lLN13,lLN13,lLN10-17,ALLN_sparse,127,0.023622047244094488
5901218894,541632990,AL(R),1,541632990,mPN,5901218894,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,127,0.007874015748031496
