bodyId_pre,bodyId_post,roi,weight,bodyid_x,glomerulus,bodyid_y,name,connectivity.type,cell.type,group,class,PN_total_connections,PN_from_LN_perct
1640572741,704699661,AL(R),9,704699661,,1640572741,lLN2T_b(Tortuous)_R,lLN2T_b,lLN2T,lLN2T_a-c,ALLN_broad,297,0.030303030303030304
1640909284,704699661,AL(R),23,704699661,,1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,ALLN_broad,297,0.07744107744107744
1640922516,704699661,AL(R),2,704699661,,1640922516,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,297,0.006734006734006734
1667251683,704699661,AL(R),6,704699661,,1667251683,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,297,0.020202020202020204
1669924220,704699661,AL(R),5,704699661,,1669924220,lLN2T_d(Tortuous)_R,lLN2T_d,lLN2T,lLN2T_d-e,ALLN_regional,297,0.016835016835016835
1670287030,704699661,AL(R),1,704699661,,1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,ALLN_broad,297,0.003367003367003367
1671257931,704699661,AL(R),4,704699661,,1671257931,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,297,0.013468013468013467
1671292719,704699661,AL(R),1,704699661,,1671292719,lLN2T_c(Tortuous)_R,lLN2T_c,lLN2T,lLN2T_a-c,ALLN_broad,297,0.003367003367003367
1671620613,704699661,AL(R),1,704699661,,1671620613,v2LN30_R,v2LN30,v2LN30,v2LN30/v2LN37,ALLN_regional,297,0.003367003367003367
1672320134,704699661,AL(R),1,704699661,,1672320134,lLN2T_a(Tortuous)_R,lLN2T_a,lLN2T,lLN2T_a-c,ALLN_broad,297,0.003367003367003367
1699974843,704699661,AL(R),2,704699661,,1699974843,lLN2T_e(Tortuous)_R,lLN2T_e,lLN2T,lLN2T_d-e,ALLN_broad,297,0.006734006734006734
1701947337,704699661,AL(R),4,704699661,,1701947337,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,297,0.013468013468013467
1702336197,704699661,AL(R),1,704699661,,1702336197,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,297,0.003367003367003367
1732995501,704699661,AL(R),1,704699661,,1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,297,0.003367003367003367
1762359683,704699661,AL(R),1,704699661,,1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,ALLN_broad,297,0.003367003367003367
1793744512,704699661,AL(R),1,704699661,,1793744512,l2LN19_R,l2LN19,l2LN19,l2LN19,ALLN_sparse,297,0.003367003367003367
1824745150,704699661,AL(R),2,704699661,,1824745150,lLN15_R,lLN15,lLN15,lLN10-17,ALLN_regional,297,0.006734006734006734
1826445251,704699661,AL(R),1,704699661,,1826445251,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,297,0.003367003367003367
1887518225,704699661,AL(R),1,704699661,,1887518225,lLN16b_R,lLN16B,lLN16B,lLN10-17,ALLN_sparse,297,0.003367003367003367
1915155348,704699661,AL(R),1,704699661,,1915155348,v2LN43_R,v2LN43,v2LN43,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,297,0.003367003367003367
1918565786,704699661,AL(R),1,704699661,,1918565786,lLN12a_R,lLN12A,lLN12A,lLN10-17,ALLN_regional,297,0.003367003367003367
1946178096,704699661,AL(R),1,704699661,,1946178096,lLN2P_b(Patchy)_R,lLN2P_b,lLN2P,lLN2P,ALLN_patchy,297,0.003367003367003367
2069989274,704699661,AL(R),1,704699661,,2069989274,v2LN39a_R,v2LN39A,v2LN39A,v2LN2/v2LN39/v2LN49-50,ALLN_sparse,297,0.003367003367003367
5812995404,704699661,AL(R),1,704699661,,5812995404,v2LN44_R,v2LN44,v2LN44,v2LN4/v2LN32-33/v2LN38/v2LN42-45,ALLN_sparse,297,0.003367003367003367
5813018460,704699661,AL(R),1,704699661,,5813018460,il3LN6_R,il3LN6,il3LN6,il3LN6,ALLN_broad,297,0.003367003367003367
5813024339,704699661,AL(R),1,704699661,,5813024339,lLN2R_a(Regional)_R,lLN2R_a,lLN2R,lLN2R,ALLN_regional,297,0.003367003367003367
